Player,Points
Elsa Jacquemot,315
Dominika Salkova,313
Kristina Liutova,308
Francesca Jones,306
Rebeka Masarova,305
(1998) Yuan Yue,305
Mananchaya Sawangkaew,302
Dalma Galfi,299
Taylah Preston,299
Victoria Jimenez Kasintseva,292
Sinja Kraus,291
Lucrezia Stefanini,289
Harriet Dart,284
Ella Seidel,277
Kaitlin Quevedo,274
Iryna Shymanovich,251
Veronika Podrez,241
Moyuka Uchijima,237
Elina Avanesyan,235
Tamara Zidansek,232
Caterina Grant Tyra,230
Julia Grabher,229
Elena Pridankina,228
Kayla Day,221
Alina Charaeva,215
Darja Semenistaja,211
Marina Bassols Ribera,209
Priscilla Hon,208
Bianca Andreescu,202
Polina Iatcenko,201
Lois Boisson,197
Mary Stoiana,191
Zhuoxuan Bai,184
Joanna Garland,178
Katarzyna Kawa,176
Hanne Vandewinkel,164
Jasmin Ortenzi,161
Mai Hontama,159
Susan Bandecchi,156
Olga Danilovic,154
Varvara Lepchenko,151
Sofia Costoulas,146
Anastasia Gasanova,145
Vera Zvonareva,142
Mariam Bolkvadze,141
Lourdes Carle Maria,136
Linda Klimovicova,135
Emerson Jones,134
Marina Stakusic,132
Viktoriya Tomova,132
Fiona Ferro,132
Lucia Bronzetti,132
Rositsa Dencheva,131
Greet Minnen,131
Irina-Camelia Begu,127
Lulu Sun,127
Sara Sorribes Tormo,127
Julia Riera,127
Gabriela Knutson,127
Celine Naef,126
Whitney Osuigwe,125
Kaja Juvan,124
Guiomar Maristany Zuleta De Reales,121
Suzan Lamens,118
Aoi Ito,116
Heather Watson,113
Chloe Paquet,113
Veronika Erjavec,112
Nao Hibino,112
Hanyu Guo,110
Youngsuh Lee Carol,107
Nadia Podoroska,103
Mia Pohankova,100
Oceane Dodin,100
Katherine Sebov,100
Leyre Romero Gormaz,99
Beatriz Haddad Maia,95
Ane Mintegi Del Olmo,95
Anastasiia Sobolieva,95
Despina Papamichail,95
Harmony Tan,94
Lin Zhu,93
Akasha Urhobo,93
Tatiana Prozorova,93
Caroline Dolehide,92
Katie Swan,92
Yexin Ma,92
Aurora Zantedeschi,91
Julieta Pareja,89
Polona Hercog,87
Teodora Kostovic,86
Carole Monnet,86
Clara Burel,84
Alicia Herrero Linana,84
Darya Astakhova,83
Noemi Basiletti,80
Barbora Palicova,80
Olivia Gadecki,77
Anouk Koevermans,77
Venus Williams,75
Laura Samson,75
Lucie Havlickova,75
Noma Noha Akugue,74
Ekaterine Gorgodze,74
(Kuzmova) Hruncakova Viktoria,73
Bianca Bulgaru Miriam,72
Arina Rodionova,71
Elena Micic,70
Alevtina Ibragimova,68
Viktoria Morvayova,67
Miriana Tona,67
Lola Radivojevic,66
Fangran Tian,65
Anastasia Pavlyuchenkova,64
Lina Gjorcheska,64
Arantxa Rus,64
Xinxin Yao,64
Francisca Jorge,63
Marketa Vondrousova,61
Cadence Brace,61
Mona Barthel,61
Andrea Lazaro Garcia,55
Yasmine Kabbaj,55
Hannah Klugman,54
Jeline Vandromme,53
Alice Rame,53
Caroline Werner,53
Weronika Falkowska,53
Xinyu Gao,53
Lucija Ciric Bagaric,53
Justina Mikulskyte,52
Vendula Valdmannova,51
Martina Trevisan,51
Carson Branstine,50
Anna-Lena Friedsam,50
Kiara Toth Amarissa,49
Mei Yamaguchi,49
Ayla Aksu,46
Deborah Chiesa,46
Kylie Collins,46
Sarah Rakotomanga Rajaonah Tiantsoa,45
Kayla Cross,45
Eva Bennemann,44
Diana Martynov,43
Katarina Zavatska,43
Anna Siskova,42
Julia Avdeeva,42
Kathinka von Deichmann,42
Varvara Panshina,41
Elizabeth Mandlik,40
Madison Brengle,40
Yeonwoo Ku,38
Victoria Bosio,38
Xiaodi You,38
Rada Zolotareva,37
Gina Feistel,36
Lea Ma,36
Francesca Curmi,35
Lisa Pigato,35
Kajsa Rinaldo Persson,35
Hayu Kinoshita,34
Tatiana Pieri,34
Dalila Jakupovic,34
Ksenia Efremova,33
Sofya Lansere,33
Mina Hodzic,33
Rebecca Marino,32
Tereza Martincova,32
Sada Nahimana,32
Lea Boskovic,32
Julia Stusek,31
Lucie Nguyen Tan,31
Amandine Monnot,31
Giorgia Pedone,31
Lia Karatancheva,31
Eudice Chong,30
Yafan Wang,30
Rashmikaa Bhamidipaty Shrivalli,30
Fiona Crawley,30
Martyna Kubka,30
Wushuang Zheng,30
Sahaja Yamalapalli,30
Eva Vedder,30
Angelina Voloshchuk,30
Federica Urgesi,30
Yelyzaveta Kotliar,30
Mia Ristic,30
Anastasia Tikhonova,30
Rina Saigo,30
Anna Frey,29
Ekaterina Ovcharenko,29
Sofia Johnson,28
Ruxandra Bertea Elena,28
Sakura Hosogi,27
Jessica Pieri,27
Nika Radisic,26
Naiktha Bains,26
Luisina Giovannini,26
Jessika Ponchet,26
Nuria Parrizas-Diaz,26
Alana Smith,25
Margaux Rouvroy,25
Erika Andreeva,25
Elizara Yaneva,24
Sofia Sanchez Ana,24
Angela Fita Boluda,24
Clervie Ngounoue,23
Viola Turini,23
Katrina Scott,23
Berfu Cengiz,23
Alicia Dudeney,23
Laura Pigossi,23
Yufei Ren,23
Selena Janicijevic,23
Sinclair Rogers Anna,23
Manon Leonard,23
Diletta Cherubini,23
Jennifer Brady,22
Sijia Wei,22
Aliona Falei,22
Lizette Cabrera,22
Alexandra Shubladze,22
Chengyiyi Yuan,22
Emma Dong,21
Misaki Matsuda,21
Daria Khomutsianskaya,21
Zongyu Li,21
Zuzanna Pawlikowska,21
Matilde Jorge,21
Tena Lukas,21
Irene Burillo Escorihuela,21
Silvia Ambrosio,20
Nadine Smith Tina,20
Gabriela Lee,20
Kristina Penickova,20
Sachia Vickery,20
Julie Struplova,20
Esther Adeshina,20
Lisa Zaar,20
Jule Niemeier,20
Nuria Brancaccio,20
Louisa Chirico,19
Kristina Mladenovic,19
Momoko Kobori,19
Astrid Lew Yan Foon,19
Aran Teixido Garcia,19
Arianne Hartono,18
Adelina Lacinova,18
Mariia Tkacheva,18
Dalina Amariei Ilinca,18
Camilla Rosatello,18
Ayano Shimizu,18
Cagla Buyukakcay,18
Kristiana Sidorova,18
Amandine Hesse,18
Elena Malygina,18
Wilda Hennemann Caijsa,18
Madison Sieg,18
Ayana Akli,18
Katarina Jokic,17
Reese Brantmeier,17
Peangtarn Plipuech,17
Isabella Shinikova,17
Ekaterina Yashina,17
Aneta Laboutkova,16
Martina Colmegna,16
Alina Granwehr,16
Sara Popa Maria,16
Ekaterina Kazionova,16
Alice Tubello,16
Dalila Spiteri,16
Xinran Sun,15
Aliona Bolsova Zadoinov,15
Eri Shimizu,15
Carol Zhao,15
Capucine Jauffret,15
Ekaterina Perelygina,15
Mingge Xu,15
Sohyun Park,15
Georgina Garcia-Perez,15
Laura Mair,15
(2001) Kuzmova Katarina,15
Johanna Brockmann Tessa,15
Katarzyna Piter,14
Maria Kozyreva,14
Shuo Liang En,14
Julie Belgraver,14
Zhibek Kulambayeva,14
Ariana Arseneault,14
Georgiana Serban Raluca,14
Alisa Oktiabreva,13
Andreea Herea Carmen,13
Cody Wong Hong Yi,13
Ankita Raina,13
Nastasja Schunk,13
Jennifer Ruggeri,13
Anastasia Kulikova,13
Kyoka Okamura,13
Yasmine Mansouri,13
Kennedy Drenser-Hagmann,12
Victoria Brand,12
Thea Frodin,12
Irina Fetecau,12
Amy Zhu,12
Mika Stojsavljevic,12
Madelyn Nugroho Priska,12
Elina Nepliy,12
Vaishnavi Adkar,12
Thasaporn Naklo,12
Ipek Oz,12
Miho Kuramochi,12
Anastasia Zolotareva,12
Jia-Jing Lu,12
Valentina Ryser,12
Haruka Kaji,12
Han Shi,12
Zarina Diyas,11
Danka Kovinic,11
Andreea Prisacariu,11
Carlota Martinez Cirez,11
Serena Williams,10
Nicole Fossa Huergo,10
Carolina Alves,10
Yiming Dang,9
Alessandra Mazzola,9
Emily Appleton,9
Sara Saito,9
Carolyn Ansari,9
Ella McDonald,8
Ena Shibahara,8
Samira De Stefano,8
Lucia Cortez Llorca,8
Anouck Vrancken Peeters,8
Ena Koike,8
Radka Zelnickova,8
Ellie Schoppe,7
Astra Sharma,7
Yaroslava Bartashevich,7
Ruth Roura Llaverias,7
Malaika Rapolu,7
Yidi Yang,7
Allura Zamarripa,6
Avery Alexander,6
Dalayna Hewitt,6
Tara Wuerth,6
Shilin Xu,6
Urszula Radwanska,6
Jaeda Daniel,6
Ilay Yoruk,6
Katerina Tsygourova,6
Nadiya Kolb,5
Kaur Thandi Karman,5
Hiroko Kuwata,5
Tahlia Kokkinis,5
Gabriella da Silva Fick,5
Yujia Huang,5
Maria Martinez Vaquero,5
Sayaka Ishii,5
Briana Szabo,5
Marie Dittmann Gina,5
Ana Petkovic,4
Edie Griffiths,4
Elsa Bonelli,4
Jodie Burrage,4
Lily Miyazaki Yuriko,4
Sara Daavettila,4
Victoria Hu,4
Mia Horvit,4
Valeria Savinykh,4
Ying Zhang,4
Liv Boulard,4
Cristina Diaz Adrover,4
Akua Stoiber Ranah,4
Elena Cabezas Dominguez Sofia,4
Amelia Rajecki,4
Chenting Zhu,4
Sophie Steur Joelle Lilly,4
Valeriya Strakhova,4
Sapfo Sakellaridi,4
Anastasija Sevastova,3
Gabriela Agra Amorim,3
Vitoria Leme Da Silva Nauhany,3
Renee Alame,3
Analu Freitas,3
