Player,Points
Elena Rybakina,5277
Aryna Sabalenka,5065
Mirra Andreeva,5064
Elina Svitolina,4614
Jessica Pegula,4395
Karolina Muchova,4270
Coco Gauff,3874
Linda Noskova,3684
Marta Kostyuk,3395
Iga Swiatek,2954
Victoria Mboko,2393
Diana Shnaider,2095
Belinda Bencic,2067
Sorana Cirstea,2055
Alexandra Eala,1997
Naomi Osaka,1937
Iva Jovic,1927
Madison Keys,1750
Elise Mertens,1665
Anna Kalinskaya,1663
Amanda Anisimova,1618
Anastasia Potapova,1617
Marie Bouzkova,1500
Maja Chwalinska,1474
Jelena Ostapenko,1414
Emma Navarro,1312
Jasmine Paolini,1194
Maria Sakkari,1163
Hailey Baptiste,1153
Ekaterina Alexandrova,1086
Leylah Fernandez,1080
(2001) Wang Xinyu,1048
Karolina Pliskova,1025
Donna Vekic,1006
Barbora Krejcikova,973
Sara Bejlek,966
Peyton Stearns,957
Elisabetta Cocciaretto,942
Zeynep Sonmez,915
Ann Li,911
Kimberly Birrell,902
Liudmila Samsonova,887
Magda Linette,878
Clara Tauson,876
Katie Boulter,871
Jaqueline Cristian,870
Nikola Bartunkova,857
Magdalena Frech,852
Yuliia Starodubtseva,839
Gabriela Ruse Elena,836
Cristina Bucsa,814
Janice Tjen,814
Anna Bondar,812
Alycia Parks,806
Caty McNally,802
Tamara Korpatsch,786
Yulia Putintseva,772
Daria Kasatkina,733
Lilli Tagger,723
Tatjana Maria,715
Camila Osorio,710
Emma Raducanu,709
Shuai Zhang,704
Diane Parry,700
Katerina Siniakova,685
Ashlyn Krueger,684
Talia Gibson,680
Antonia Ruzic,670
Daria Snigur,666
Oleksandra Oliynykova,661
McCartney Kessler,655
Paula Badosa,650
Tereza Valentova,640
Viktorija Golubic,628
Petra Marcinko,627
Kamilla Rakhimova,598
Panna Udvardy,594
Solana Sierra,591
Anastasia Zakharova,571
Jessica Bouzas Maneiro,557
Katie Volynets,553
Anna Blinkova,553
Qinwen Zheng,550
Ajla Tomljanovic,544
Anhelina Kalinina,531
Dayana Yastremska,529
Maya Joint,510
