Player,Points
Elena Rybakina,3093
Aryna Sabalenka,2800
Jessica Pegula,2190
Elina Svitolina,2190
Victoria Mboko,1712
Karolina Muchova,1555
Mirra Andreeva,1248
Coco Gauff,1045
Iga Swiatek,1010
Amanda Anisimova,1010
Belinda Bencic,864
Iva Jovic,851
Cristina Bucsa,761
Linda Noskova,710
Kimberly Birrell,650
Sorana Cirstea,644
Elise Mertens,640
Sara Bejlek,630
Anna Kalinskaya,621
Clara Tauson,617
Maria Sakkari,616
Elisabetta Cocciaretto,603
Jelena Ostapenko,597
Alexandra Eala,591
Janice Tjen,578
Magdalena Frech,572
(2001) Wang Xinyu,563
Madison Keys,521
Peyton Stearns,516
Jasmine Paolini,497
Magda Linette,493
Diana Shnaider,470
Yulia Putintseva,460
Ekaterina Alexandrova,426
Katie Boulter,419
Marta Kostyuk,400
Antonia Ruzic,394
Hailey Baptiste,382
Zeynep Sonmez,377
Emma Raducanu,373
Jaqueline Cristian,369
Sonay Kartal,367
Katerina Siniakova,338
Shuai Zhang,332
Varvara Gracheva,327
Tereza Valentova,323
Talia Gibson,320
Marie Bouzkova,313
Ajla Tomljanovic,311
Maddison Inglis,302
Anna Blinkova,299
Alycia Parks,299
Nikola Bartunkova,295
Camila Osorio,288
Anastasia Zakharova,283
Naomi Osaka,282
Anastasia Potapova,267
Storm Hunter,261
Emma Navarro,261
Taylor Townsend,258
Daria Kasatkina,257
Liudmila Samsonova,257
Leylah Fernandez,255
Karolina Pliskova,251
Maya Joint,248
Tamara Korpatsch,247
Anna Bondar,247
Ann Li,243
Dayana Yastremska,242
Lilli Tagger,240
Oksana Selekhmeteva,238
Ashlyn Krueger,236
Aliaksandra Sasnovich,235
Linda Fruhvirtova,228
Victoria Jimenez Kasintseva,222
McCartney Kessler,221
Gabriela Ruse Elena,221
Ella Seidel,210
Paula Badosa,207
Diane Parry,198
Katie Volynets,197
Taylah Preston,181
Himeno Sakatsume,178
Alina Korneeva,177
Priscilla Hon,171
Lanlana Tararudee,170
Barbora Krejcikova,166
(1998) Yuan Yue,165
Zhuoxuan Bai,164
Jessica Bouzas Maneiro,158
Alina Charaeva,158
Kamilla Rakhimova,155
Olga Danilovic,154
Caty McNally,154
Daria Snigur,146
Viktorija Golubic,143
Rebecca Sramkova,140
Moyuka Uchijima,133
Marina Stakusic,132
Qinwen Zheng,130
Solana Sierra,129
Rebeka Masarova,129
