Player,Points
Elena Rybakina,4318
Aryna Sabalenka,4080
Elina Svitolina,3460
Jessica Pegula,3185
Mirra Andreeva,2928
Coco Gauff,2573
Karolina Muchova,2280
Victoria Mboko,1997
Marta Kostyuk,1715
Iga Swiatek,1583
Sorana Cirstea,1425
Belinda Bencic,1372
Iva Jovic,1356
Linda Noskova,1163
Anastasia Potapova,1152
Amanda Anisimova,1130
Jelena Ostapenko,1106
Hailey Baptiste,1083
Elise Mertens,950
Alexandra Eala,873
Anna Kalinskaya,869
Madison Keys,846
Diana Shnaider,833
Elisabetta Cocciaretto,803
Cristina Bucsa,792
Leylah Fernandez,773
Peyton Stearns,741
Sara Bejlek,711
Karolina Pliskova,696
Jasmine Paolini,693
Kimberly Birrell,690
Maria Sakkari,673
Magdalena Frech,663
Marie Bouzkova,649
(2001) Wang Xinyu,642
Clara Tauson,637
Janice Tjen,635
Ekaterina Alexandrova,622
Magda Linette,603
Zeynep Sonmez,597
Jaqueline Cristian,596
Katie Boulter,584
Yulia Putintseva,572
Yuliia Starodubtseva,569
Alycia Parks,549
Ann Li,548
Naomi Osaka,532
Gabriela Ruse Elena,516
Talia Gibson,513
Anna Bondar,502
Nikola Bartunkova,473
Liudmila Samsonova,459
Antonia Ruzic,450
Katerina Siniakova,449
Anastasia Zakharova,422
Caty McNally,405
Lilli Tagger,404
Tereza Valentova,403
Donna Vekic,402
McCartney Kessler,399
Taylor Townsend,398
Anna Blinkova,397
Camila Osorio,391
Shuai Zhang,390
Dayana Yastremska,389
Tamara Korpatsch,383
Qinwen Zheng,380
Ajla Tomljanovic,378
Emma Raducanu,374
Sonay Kartal,367
Varvara Gracheva,337
Katie Volynets,333
Emma Navarro,331
Solana Sierra,325
Laura Siegemund,321
Aliaksandra Sasnovich,319
Paula Badosa,314
Maddison Inglis,304
Panna Udvardy,297
Oksana Selekhmeteva,293
Ashlyn Krueger,292
Dalma Galfi,283
Daria Kasatkina,278
Rebeka Masarova,274
Emiliana Arango,269
Storm Hunter,263
Linda Fruhvirtova,262
Maya Joint,259
Kamilla Rakhimova,258
Tatjana Maria,257
Victoria Jimenez Kasintseva,256
Anhelina Kalinina,251
Simona Waltert,251
(1998) Yuan Yue,250
Viktorija Golubic,246
Jessica Bouzas Maneiro,244
Ella Seidel,232
Daria Snigur,231
Diane Parry,222
Oleksandra Oliynykova,214
Andrea Lazaro Garcia,213
Barbora Krejcikova,201
Himeno Sakatsume,198
Dominika Salkova,198
Sofia Kenin,190
Renata Zarazua,189
Eva Lys,188
Veronika Podrez,183
Taylah Preston,183
Petra Marcinko,181
Elvina Kalieva,178
Priscilla Hon,173
Shuo Liang En,172
Lanlana Tararudee,170
Sloane Stephens,170
Zhuoxuan Bai,164
Leolia Jeanjean,164
Rebecca Sramkova,164
Olga Danilovic,154
Elsa Jacquemot,151
Sinja Kraus,146
Moyuka Uchijima,145
Julia Grabher,144
Vera Zvonareva,142
Jasmin Ortenzi,138
Marina Stakusic,132
Darja Semenistaja,132
Polina Kudermetova,130
Iryna Shymanovich,119
Joanna Garland,116
Maja Chwalinska,116
Linda Klimovicova,113
Francesca Jones,113
Viktoriya Tomova,110
Varvara Lepchenko,106
Darja Vidmanova,106
Kaja Juvan,105
Kaitlin Quevedo,105
Whitney Osuigwe,103
Caterina Grant Tyra,100
Bianca Andreescu,100
Sofia Costoulas,95
Kayla Day,93
Katarzyna Kawa,93
Maria Timofeeva,90
Fiona Ferro,88
Chloe Paquet,83
Lois Boisson,80
Emerson Jones,80
Lulu Sun,78
Olivia Gadecki,77
Akasha Urhobo,77
Julia Riera,76
Carole Monnet,75
Tamara Zidansek,74
Beatriz Haddad Maia,73
Guiomar Maristany Zuleta De Reales,72
Despina Papamichail,72
Arina Rodionova,71
Hanyu Guo,71
Jessika Ponchet,71
Laura Samson,70
Mary Stoiana,70
Elina Avanesyan,69
Matilde Jorge,68
Polona Hercog,68
Veronika Erjavec,66
Noemi Basiletti,65
Anastasia Pavlyuchenkova,64
Xinxin Yao,64
Elena Pridankina,64
Marketa Vondrousova,61
Mia Ristic,61
Gabriela Knutson,59
Polina Iatcenko,58
Alina Charaeva,56
Lucrezia Stefanini,56
Hanne Vandewinkel,55
Mia Pohankova,54
Caroline Dolehide,53
Alice Tubello,53
Xiyu Wang,51
Ane Mintegi Del Olmo,51
Fangran Tian,49
Viktoria Morvayova,48
Mei Yamaguchi,48
Francisca Jorge,47
Marina Bassols Ribera,46
Youngsuh Lee Carol,44
Lucia Bronzetti,44
Venus Williams,43
Claire Liu,41
Kathinka von Deichmann,41
Mai Hontama,41
Yexin Ma,40
Kiara Toth Amarissa,38
Lourdes Carle Maria,38
Varvara Panshina,37
Diana Martynov,35
Alina Korneeva,35
Julieta Pareja,34
Anastasia Zolotareva,34
Elizabeth Mandlik,34
Harmony Tan,34
Rada Zolotareva,33
Greet Minnen,33
Lin Zhu,32
Sara Sorribes Tormo,32
Yasmine Kabbaj,32
Anastasia Gasanova,32
Tereza Martincova,31
Martina Trevisan,31
