Player,Points
Elena Rybakina,4103
Aryna Sabalenka,4015
Jessica Pegula,2970
Mirra Andreeva,2713
Elina Svitolina,2460
Karolina Muchova,2270
Victoria Mboko,1937
Coco Gauff,1923
Marta Kostyuk,1715
Belinda Bencic,1307
Iga Swiatek,1193
Iva Jovic,1176
Amanda Anisimova,1130
Linda Noskova,1043
Sorana Cirstea,1035
Hailey Baptiste,1018
Anastasia Potapova,1002
Jelena Ostapenko,891
Elise Mertens,830
Alexandra Eala,807
Madison Keys,781
Cristina Bucsa,781
Diana Shnaider,768
Anna Kalinskaya,749
Elisabetta Cocciaretto,738
Leylah Fernandez,703
Sara Bejlek,700
Kimberly Birrell,688
Peyton Stearns,646
Marie Bouzkova,638
Maria Sakkari,637
(2001) Wang Xinyu,631
Jasmine Paolini,628
Clara Tauson,627
Janice Tjen,624
Magda Linette,593
Magdalena Frech,593
Jaqueline Cristian,585
Karolina Pliskova,574
Katie Boulter,574
Yulia Putintseva,562
Zeynep Sonmez,562
Yuliia Starodubtseva,559
Ekaterina Alexandrova,552
Alycia Parks,547
Anna Bondar,491
Gabriela Ruse Elena,486
Talia Gibson,478
Ann Li,453
Antonia Ruzic,415
Katerina Siniakova,413
Naomi Osaka,412
Donna Vekic,403
Anna Blinkova,395
Liudmila Samsonova,393
Camila Osorio,388
Anastasia Zakharova,387
Lilli Tagger,384
Shuai Zhang,380
Dayana Yastremska,379
Emma Raducanu,373
Caty McNally,370
Tereza Valentova,368
Sonay Kartal,367
McCartney Kessler,364
Ajla Tomljanovic,357
Tamara Korpatsch,353
Varvara Gracheva,337
Nikola Bartunkova,333
Qinwen Zheng,315
Aliaksandra Sasnovich,315
Paula Badosa,314
Katie Volynets,313
Taylor Townsend,303
Maddison Inglis,302
Ashlyn Krueger,288
Oksana Selekhmeteva,283
Daria Kasatkina,268
Emiliana Arango,266
Storm Hunter,262
Emma Navarro,261
Panna Udvardy,261
Linda Fruhvirtova,260
Solana Sierra,260
Laura Siegemund,256
Dalma Galfi,253
Maya Joint,248
Kamilla Rakhimova,248
Victoria Jimenez Kasintseva,234
Jessica Bouzas Maneiro,233
Ella Seidel,230
(1998) Yuan Yue,228
Tatjana Maria,222
Diane Parry,219
Andrea Lazaro Garcia,211
Daria Snigur,211
Anhelina Kalinina,210
Dominika Salkova,194
Alina Korneeva,193
Renata Zarazua,187
Simona Waltert,186
Veronika Podrez,181
Viktorija Golubic,181
Taylah Preston,181
Sofia Kenin,180
Zhuoxuan Bai,179
Himeno Sakatsume,178
Rebeka Masarova,177
Elvina Kalieva,176
Priscilla Hon,171
Petra Marcinko,170
Sloane Stephens,168
Lanlana Tararudee,168
Barbora Krejcikova,166
Rebecca Sramkova,160
Olga Danilovic,154
Eva Lys,153
Oleksandra Oliynykova,149
Moyuka Uchijima,143
Elsa Jacquemot,141
Jasmin Ortenzi,136
Lisa Pigato,133
Marina Stakusic,132
Polina Kudermetova,129
Darja Semenistaja,128
Vera Zvonareva,124
Julia Grabher,124
Mayar Sherif,120
Iryna Shymanovich,117
Joanna Garland,114
Maja Chwalinska,114
Sinja Kraus,114
Francesca Jones,113
Linda Klimovicova,111
Viktoriya Tomova,108
Varvara Lepchenko,104
Darja Vidmanova,104
Kaja Juvan,103
Kaitlin Quevedo,103
Whitney Osuigwe,101
Leolia Jeanjean,98
Kayla Day,91
Katarzyna Kawa,91
Maria Timofeeva,89
Chloe Paquet,81
Emerson Jones,80
Olivia Gadecki,77
Akasha Urhobo,77
Nuria Brancaccio,76
Sofia Costoulas,76
Julia Riera,74
Lulu Sun,74
