Player,Points
Aryna Sabalenka,3800
Elena Rybakina,3483
Jessica Pegula,2905
Elina Svitolina,2255
Karolina Muchova,1945
Victoria Mboko,1927
Coco Gauff,1695
Mirra Andreeva,1368
Belinda Bencic,1187
Amanda Anisimova,1130
Iva Jovic,1111
Iga Swiatek,1020
Madison Keys,781
Cristina Bucsa,771
Sorana Cirstea,765
Anna Kalinskaya,739
Linda Noskova,720
Jelena Ostapenko,717
Alexandra Eala,712
Elise Mertens,705
Sara Bejlek,701
Elisabetta Cocciaretto,698
Kimberly Birrell,678
Diana Shnaider,643
Marie Bouzkova,628
Maria Sakkari,627
Clara Tauson,627
Peyton Stearns,611
Hailey Baptiste,598
Janice Tjen,589
Magdalena Frech,583
(2001) Wang Xinyu,573
Jasmine Paolini,562
Magda Linette,558
Yulia Putintseva,527
Yuliia Starodubtseva,504
Ekaterina Alexandrova,491
Jaqueline Cristian,489
Katie Boulter,485
Talia Gibson,468
Marta Kostyuk,465
Zeynep Sonmez,412
Antonia Ruzic,404
Alycia Parks,397
Leylah Fernandez,380
Anastasia Zakharova,377
Emma Raducanu,373
Sonay Kartal,367
McCartney Kessler,364
Anna Blinkova,364
Tereza Valentova,358
Camila Osorio,353
Katerina Siniakova,348
Ajla Tomljanovic,347
Shuai Zhang,344
Varvara Gracheva,337
Anna Bondar,317
Nikola Bartunkova,313
Dayana Yastremska,310
Paula Badosa,303
Maddison Inglis,302
Taylor Townsend,293
Naomi Osaka,292
Ann Li,279
Ashlyn Krueger,278
Lilli Tagger,276
Aliaksandra Sasnovich,276
Oksana Selekhmeteva,273
Katie Volynets,270
Anastasia Potapova,268
Liudmila Samsonova,267
Storm Hunter,261
Emma Navarro,261
Tamara Korpatsch,260
Daria Kasatkina,257
Linda Fruhvirtova,257
Gabriela Ruse Elena,257
Karolina Pliskova,251
Qinwen Zheng,250
Maya Joint,248
Emiliana Arango,231
Ella Seidel,229
(1998) Yuan Yue,229
Victoria Jimenez Kasintseva,223
Caty McNally,220
Diane Parry,216
Andrea Lazaro Garcia,208
Kamilla Rakhimova,208
Panna Udvardy,206
Jessica Bouzas Maneiro,198
Donna Vekic,193
Renata Zarazua,187
Alina Charaeva,186
Taylah Preston,181
Alina Korneeva,178
Himeno Sakatsume,178
Priscilla Hon,171
Viktorija Golubic,171
Lanlana Tararudee,168
Barbora Krejcikova,166
Zhuoxuan Bai,164
Laura Siegemund,161
Rebecca Sramkova,158
Rebeka Masarova,157
Olga Danilovic,154
Daria Snigur,146
Sofia Kenin,145
Solana Sierra,140
Jasmin Ortenzi,136
Petra Marcinko,135
Moyuka Uchijima,133
Marina Stakusic,132
Dominika Salkova,132
Elsa Jacquemot,130
Elvina Kalieva,129
Polina Kudermetova,129
Darja Semenistaja,129
Simona Waltert,122
Mayar Sherif,119
Joanna Garland,115
Maja Chwalinska,114
Tatjana Maria,114
Francesca Jones,113
Linda Klimovicova,111
Vera Zvonareva,111
Oleksandra Oliynykova,109
Varvara Lepchenko,104
Kaja Juvan,103
Whitney Osuigwe,102
Dalma Galfi,99
Viktoriya Tomova,93
Kayla Day,91
Katarzyna Kawa,89
Julia Grabher,89
Sloane Stephens,88
Darja Vidmanova,84
Sinja Kraus,84
Eva Lys,83
Emerson Jones,80
Olivia Gadecki,77
Akasha Urhobo,77
Maria Timofeeva,76
Sofia Costoulas,75
Julia Riera,74
Nuria Brancaccio,73
Tamara Zidansek,72
Lulu Sun,72
Arina Rodionova,71
Guiomar Maristany Zuleta De Reales,70
Fiona Ferro,69
Kaitlin Quevedo,68
Mary Stoiana,68
Matilde Jorge,64
Bianca Andreescu,63
Chloe Paquet,63
Elena Pridankina,63
Marketa Vondrousova,61
Elina Avanesyan,59
Polina Iatcenko,56
Anhelina Kalinina,55
Mia Pohankova,54
Caroline Dolehide,53
Beatriz Haddad Maia,53
Hanyu Guo,51
Despina Papamichail,50
Fangran Tian,49
Mei Yamaguchi,48
Viktoria Morvayova,48
Shuo Liang En,47
Iryna Shymanovich,45
Veronika Erjavec,44
Francisca Jorge,44
Marina Bassols Ribera,43
Youngsuh Lee Carol,43
Lucrezia Stefanini,42
Carole Monnet,42
Claire Liu,39
Polona Hercog,38
Yexin Ma,38
Kiara Toth Amarissa,37
Lourdes Carle Maria,36
Caroline Werner,35
Diana Martynov,33
Venus Williams,33
Elizabeth Mandlik,33
Leolia Jeanjean,33
Anastasia Pavlyuchenkova,32
Julieta Pareja,32
Lin Zhu,32
Gabriela Knutson,32
Hanne Vandewinkel,32
Lucia Bronzetti,32
Greet Minnen,31
Lia Karatancheva,31
Eudice Chong,30
Yafan Wang,30
Rashmikaa Bhamidipaty Shrivalli,30
Tereza Martincova,30
Sahaja Yamalapalli,30
Wushuang Zheng,30
Sara Sorribes Tormo,30
Mananchaya Sawangkaew,30
Anastasia Gasanova,30
Miriana Tona,29
Cadence Brace,28
Anna Frey,27
Sakura Hosogi,27
Mia Ristic,26
Nuria Parrizas-Diaz,26
Heather Watson,25
Naiktha Bains,25
Selena Janicijevic,24
Jennifer Brady,22
Lola Radivojevic,22
Misaki Matsuda,21
Anastasia Zolotareva,21
Sofia Sanchez Ana,21
Teodora Kostovic,21
Tatiana Prozorova,21
Lizette Cabrera,21
Mai Hontama,21
Ekaterine Gorgodze,21
Silvia Ambrosio,20
Nadine Smith Tina,20
Carson Branstine,20
Lina Gjorcheska,20
Elena Micic,20
Harmony Tan,20
Anouk Koevermans,20
(Kuzmova) Hruncakova Viktoria,20
Harriet Dart,20
Justina Mikulskyte,20
Kathinka von Deichmann,20
Irene Burillo Escorihuela,20
Madison Brengle,20
Momoko Kobori,19
Louisa Chirico,19
Arianne Hartono,18
Ayano Shimizu,18
Astrid Lew Yan Foon,18
Kayla Cross,18
Aliona Falei,18
Kristiana Sidorova,18
Vendula Valdmannova,18
Anna Siskova,18
Anastasia Tikhonova,18
Rina Saigo,18
Suzan Lamens,18
Camilla Rosatello,18
Mona Barthel,18
Manon Leonard,18
Mariia Tkacheva,17
Ipek Oz,17
Katarina Jokic,17
Martina Trevisan,17
Oceane Dodin,17
Gabriela Lee,16
Fiona Crawley,16
Angelina Voloshchuk,16
Dalila Jakupovic,16
Laura Pigossi,16
Yasmine Kabbaj,16
Eva Vedder,15
Kristina Mladenovic,15
Eri Shimizu,15
Sohyun Park,15
Aliona Bolsova Zadoinov,15
Nao Hibino,15
Tena Lukas,15
Leyre Romero Gormaz,15
Katarzyna Piter,14
Yeonwoo Ku,14
Xinyu Gao,14
Sarah Rakotomanga Rajaonah Tiantsoa,14
Mina Hodzic,14
Xiaodi You,14
Ayana Akli,13
Amy Zhu,12
Jia-Jing Lu,12
Vaishnavi Adkar,12
Alisa Oktiabreva,12
Thasaporn Naklo,12
Haruka Kaji,12
Peangtarn Plipuech,12
Kyoka Okamura,12
Miho Kuramochi,12
Madelyn Nugroho Priska,12
Han Shi,12
Katarina Zavatska,12
Katherine Sebov,12
Susan Bandecchi,12
Zarina Diyas,11
Noma Noha Akugue,10
Nicole Fossa Huergo,9
Lisa Pigato,9
Bianca Bulgaru Miriam,7
Alevtina Ibragimova,7
Lea Ma,7
Ekaterina Kazionova,7
Ena Shibahara,7
Anna-Lena Friedsam,7
Yasmine Mansouri,7
Tara Wuerth,6
Dalayna Hewitt,6
Shilin Xu,6
Zuzanna Pawlikowska,6
Lucija Ciric Bagaric,6
Yidi Yang,6
Sara Saito,6
Dalila Spiteri,6
Arantxa Rus,6
Carolyn Ansari,6
Nika Radisic,5
Berfu Cengiz,5
Nadiya Kolb,5
Jule Niemeier,5
Jessika Ponchet,5
Ana Petkovic,4
Mia Horvit,4
Alana Smith,4
Ankita Raina,4
Anastasia Kulikova,4
Sara Daavettila,4
Martina Colmegna,4
Sachia Vickery,4
Victoria Hu,4
Laura Samson,4
Elena Cabezas Dominguez Sofia,4
Sada Nahimana,4
Cristina Diaz Adrover,4
Barbora Palicova,4
Marie Dittmann Gina,4
Alice Rame,4
Carlota Martinez Cirez,4
Tahlia Kokkinis,3
Stefani Webb,3
Sijia Wei,3
Destanee Aiava,3
Astra Sharma,3
Aleksandra Krunic,3
Anastasija Sevastova,3
Renee Alame,3
Ada Kumru,3
Mingge Xu,3
Emily Appleton,3
Alana Subasic,3
Bernarda Pera,2
Ksenia Efremova,2
Monika Ekstrand,2
Robin Montgomery,2
Thea Frodin,2
Adelina Lachinova,2
Analu Freitas,2
Sara Lanca,2
Hiroko Kuwata,2
Martina Capurro Taborda,2
Valeriya Strakhova,2
Luisina Giovannini,2
Katrina Scott,2
Jessica Pieri,2
Ekaterina Yashina,2
Erika Andreeva,2
Alice Tubello,2
Ayla Aksu,2
Sarah Rokusek,2
Sinclair Rogers Anna,2
Anastasiia Sobolieva,2
Tiphanie Lemaitre,2
Georgiana Serban Raluca,2
Vlada Kozak,1
Carlota Corte,1
Isabella Guillen Giselle,1
Mara Gae,1
Andreea Herea Carmen,1
Brenda Fruhvirtova,1
Marian Gomez Pezuela Cano,1
Ekaterina Reyngold,1
Teresa Franco Dias,1
Freya Christie,1
Min Liu,1
Carol Zhao,1
Ana Bogdan,1
Emily Webley-Smith,1
Madalena Matias,1
Tori Russell,1
Jizelle Sibai,1
Sarah Mildren,1
Ellie Schoppe,1
Aishi Das,1
Kanon Sawashiro,1
Isabel Higuita Barraza Mariana,1
Maitane Arconada Usue,1
Ana Konjuh,1
Maaya Rajeshwaran Revathi,1
Julie Pastikova,1
Carmen Lopez Martinez,1
Malaika Rapolu,1
Carmen Gallardo Guevara,1
Carson Tanguilig,1
Elizabeth Coleman,1
Selina Atay,1
Ekaterina Ovcharenko,1
Mary Lewis,1
Aoi Ito,1
Elyse Tse,1
Nahia Berecoechea,1
Ikumi Yamazaki,1
Dileep Nitture Akanksha,1
Saumya Vig,1
Filipa Santos Ana,1
