Player,Points
Aryna Sabalenka,3800
Elena Rybakina,3483
Jessica Pegula,2905
Elina Svitolina,2255
Karolina Muchova,1946
Victoria Mboko,1927
Mirra Andreeva,1869
Coco Gauff,1695
Belinda Bencic,1187
Amanda Anisimova,1130
Iva Jovic,1111
Iga Swiatek,1020
Sorana Cirstea,873
Jelena Ostapenko,826
Madison Keys,781
Alexandra Eala,772
Cristina Bucsa,771
Anna Kalinskaya,739
Linda Noskova,721
Elise Mertens,706
Sara Bejlek,700
Elisabetta Cocciaretto,699
Kimberly Birrell,678
Diana Shnaider,644
Marie Bouzkova,628
Maria Sakkari,627
Clara Tauson,627
Peyton Stearns,611
Hailey Baptiste,599
Anastasia Potapova,593
Janice Tjen,590
Magdalena Frech,583
(2001) Wang Xinyu,573
Jasmine Paolini,563
Magda Linette,558
Ekaterina Alexandrova,552
Yulia Putintseva,527
Yuliia Starodubtseva,504
Jaqueline Cristian,491
Katie Boulter,486
Talia Gibson,468
Marta Kostyuk,466
Gabriela Ruse Elena,451
Zeynep Sonmez,437
Alycia Parks,422
Antonia Ruzic,405
Donna Vekic,400
Lilli Tagger,384
Leylah Fernandez,381
Anastasia Zakharova,377
Emma Raducanu,373
Dayana Yastremska,369
Sonay Kartal,367
Anna Blinkova,365
McCartney Kessler,364
Karolina Pliskova,359
Tereza Valentova,358
Camila Osorio,353
Katerina Siniakova,348
Ajla Tomljanovic,347
Shuai Zhang,345
Varvara Gracheva,337
Tamara Korpatsch,333
Nikola Bartunkova,328
Liudmila Samsonova,328
Anna Bondar,318
Aliaksandra Sasnovich,313
Paula Badosa,304
Maddison Inglis,302
Oksana Selekhmeteva,301
Taylor Townsend,293
Naomi Osaka,292
Katie Volynets,283
Ann Li,280
Ashlyn Krueger,278
Storm Hunter,261
Emma Navarro,261
Daria Kasatkina,258
Linda Fruhvirtova,258
Qinwen Zheng,250
Maya Joint,248
(1998) Yuan Yue,243
Emiliana Arango,231
Ella Seidel,230
Victoria Jimenez Kasintseva,224
Caty McNally,221
Diane Parry,217
Andrea Lazaro Garcia,209
Kamilla Rakhimova,209
Panna Udvardy,206
Jessica Bouzas Maneiro,198
Alina Korneeva,192
Renata Zarazua,187
Alina Charaeva,186
Taylah Preston,181
Himeno Sakatsume,178
Polina Kudermetova,177
Priscilla Hon,171
Viktorija Golubic,171
Lanlana Tararudee,168
Barbora Krejcikova,166
Zhuoxuan Bai,164
Laura Siegemund,162
Rebecca Sramkova,159
Dalma Galfi,158
Rebeka Masarova,157
Elvina Kalieva,155
Olga Danilovic,154
Sloane Stephens,148
Daria Snigur,146
Sofia Kenin,145
Dominika Salkova,144
Solana Sierra,140
Jasmin Ortenzi,136
Petra Marcinko,136
Lisa Pigato,133
Moyuka Uchijima,133
Marina Stakusic,132
Elsa Jacquemot,131
Darja Semenistaja,130
Francesca Jones,127
Vera Zvonareva,124
Marina Bassols Ribera,123
Simona Waltert,123
Mayar Sherif,120
Whitney Osuigwe,117
Maja Chwalinska,115
Tatjana Maria,115
Joanna Garland,114
Linda Klimovicova,111
Oleksandra Oliynykova,110
Viktoriya Tomova,106
Varvara Lepchenko,104
Kaja Juvan,103
Anhelina Kalinina,102
Kayla Day,91
Katarzyna Kawa,90
Julia Grabher,89
Maria Timofeeva,88
Elina Avanesyan,88
Darja Vidmanova,85
Sinja Kraus,85
Eva Lys,84
Emerson Jones,80
Olivia Gadecki,77
Akasha Urhobo,77
Sofia Costoulas,75
Julia Riera,74
Nuria Brancaccio,74
Tamara Zidansek,72
Lulu Sun,72
Arina Rodionova,71
Fiona Ferro,70
Guiomar Maristany Zuleta De Reales,70
Kaitlin Quevedo,69
Mary Stoiana,68
Matilde Jorge,65
Bianca Andreescu,63
Chloe Paquet,63
Elena Pridankina,63
Marketa Vondrousova,61
Youngsuh Lee Carol,61
Gabriela Knutson,57
Polina Iatcenko,56
Mia Pohankova,54
Beatriz Haddad Maia,54
Caroline Dolehide,53
Hanyu Guo,51
Despina Papamichail,50
Ane Mintegi Del Olmo,49
Fangran Tian,49
Viktoria Morvayova,48
Mei Yamaguchi,48
Shuo Liang En,47
Lina Gjorcheska,47
Veronika Erjavec,45
Francisca Jorge,45
Iryna Shymanovich,45
Carole Monnet,43
Lucrezia Stefanini,42
Polona Hercog,40
Claire Liu,39
Kiara Toth Amarissa,38
Yexin Ma,38
Caroline Werner,38
Lourdes Carle Maria,36
Diana Martynov,34
Leolia Jeanjean,34
Venus Williams,33
Elizabeth Mandlik,33
Anastasia Pavlyuchenkova,32
Julieta Pareja,32
Lin Zhu,32
Harmony Tan,32
Hanne Vandewinkel,32
Lucia Bronzetti,32
Greet Minnen,31
Lia Karatancheva,31
Eudice Chong,30
Yafan Wang,30
Rashmikaa Bhamidipaty Shrivalli,30
Tereza Martincova,30
Sahaja Yamalapalli,30
Wushuang Zheng,30
Oceane Dodin,30
Sara Sorribes Tormo,30
Mananchaya Sawangkaew,30
Mia Ristic,30
Anastasia Gasanova,30
Miriana Tona,29
Cadence Brace,28
Anna Frey,27
Sakura Hosogi,27
Nuria Parrizas-Diaz,26
Heather Watson,25
Naiktha Bains,25
Selena Janicijevic,25
Ekaterine Gorgodze,25
Lola Radivojevic,23
Jennifer Brady,22
Teodora Kostovic,22
Misaki Matsuda,21
Anastasia Zolotareva,21
Sofia Sanchez Ana,21
Tatiana Prozorova,21
Lizette Cabrera,21
Anouk Koevermans,21
Mai Hontama,21
Kathinka von Deichmann,21
Silvia Ambrosio,20
Nadine Smith Tina,20
Carson Branstine,20
Momoko Kobori,20
Gabriela Lee,20
Elena Micic,20
(Kuzmova) Hruncakova Viktoria,20
Harriet Dart,20
Justina Mikulskyte,20
Irene Burillo Escorihuela,20
Jessika Ponchet,20
Anna-Lena Friedsam,20
Madison Brengle,20
Astrid Lew Yan Foon,19
Louisa Chirico,19
Ekaterina Kazionova,19
Suzan Lamens,19
Manon Leonard,19
Arianne Hartono,18
Ayano Shimizu,18
Kayla Cross,18
Aliona Falei,18
Laura Samson,18
Kristiana Sidorova,18
Anna Siskova,18
Vendula Valdmannova,18
Anastasia Tikhonova,18
Rina Saigo,18
Camilla Rosatello,18
Mona Barthel,18
Mariia Tkacheva,17
Ipek Oz,17
Katarina Jokic,17
Martina Trevisan,17
Angelina Voloshchuk,17
Fiona Crawley,16
Dalila Jakupovic,16
Yasmine Kabbaj,16
Laura Pigossi,16
Kristina Mladenovic,15
Eva Vedder,15
Eri Shimizu,15
Sohyun Park,15
Aliona Bolsova Zadoinov,15
Sarah Rakotomanga Rajaonah Tiantsoa,15
Mina Hodzic,15
Nao Hibino,15
Tena Lukas,15
Leyre Romero Gormaz,15
Katarzyna Piter,14
Yeonwoo Ku,14
Xinyu Gao,14
Jessica Pieri,14
Xiaodi You,14
Alisa Oktiabreva,13
Ayana Akli,13
Amy Zhu,12
Vaishnavi Adkar,12
Thasaporn Naklo,12
Peangtarn Plipuech,12
Jia-Jing Lu,12
Haruka Kaji,12
Madelyn Nugroho Priska,12
Kyoka Okamura,12
Han Shi,12
Miho Kuramochi,12
Julie Belgraver,12
Katarina Zavatska,12
Katherine Sebov,12
Susan Bandecchi,12
Zarina Diyas,11
Noma Noha Akugue,11
Nicole Fossa Huergo,9
Sara Saito,8
Yasmine Mansouri,8
Bianca Bulgaru Miriam,7
Alevtina Ibragimova,7
Lea Ma,7
Ena Shibahara,7
Tara Wuerth,6
Dalayna Hewitt,6
Shilin Xu,6
Zuzanna Pawlikowska,6
Lucija Ciric Bagaric,6
Jule Niemeier,6
Yidi Yang,6
Arantxa Rus,6
Dalila Spiteri,6
Carolyn Ansari,6
Nika Radisic,5
Berfu Cengiz,5
Nadiya Kolb,5
Ruxandra Bertea Elena,5
Barbora Palicova,5
Ana Petkovic,4
Jil Teichmann,4
Mia Horvit,4
Ankita Raina,4
Anouck Vrancken Peeters,4
Alana Smith,4
Anastasia Kulikova,4
Sachia Vickery,4
Sara Daavettila,4
Martina Colmegna,4
Johanna Brockmann Tessa,4
Victoria Hu,4
Cristina Diaz Adrover,4
Elena Cabezas Dominguez Sofia,4
Sada Nahimana,4
Alice Rame,4
Marie Dittmann Gina,4
Carlota Martinez Cirez,4
Tahlia Kokkinis,3
Stefani Webb,3
Destanee Aiava,3
Astra Sharma,3
Aleksandra Krunic,3
Anastasija Sevastova,3
Renee Alame,3
Robin Montgomery,3
Sijia Wei,3
Ada Kumru,3
Analu Freitas,3
Mingge Xu,3
Emily Appleton,3
Alana Subasic,3
Tiphanie Lemaitre,3
Bernarda Pera,2
Ksenia Efremova,2
Monika Ekstrand,2
Adelina Lachinova,2
Sara Lanca,2
Hiroko Kuwata,2
Thea Frodin,2
Martina Capurro Taborda,2
Luisina Giovannini,2
Katrina Scott,2
Valeriya Strakhova,2
Ekaterina Yashina,2
Yaroslava Bartashevich,2
Ayla Aksu,2
Sarah Rokusek,2
Erika Andreeva,2
Alice Tubello,2
Sinclair Rogers Anna,2
Anastasiia Sobolieva,2
Georgiana Serban Raluca,2
Vlada Kozak,1
Carlota Corte,1
Isabella Guillen Giselle,1
Mara Gae,1
Andreea Herea Carmen,1
Brenda Fruhvirtova,1
Maria Kozyreva,1
Marian Gomez Pezuela Cano,1
Ekaterina Reyngold,1
Teresa Franco Dias,1
Alice Robbe,1
Freya Christie,1
Min Liu,1
Ana Bogdan,1
Emily Webley-Smith,1
Madalena Matias,1
Tori Russell,1
Jizelle Sibai,1
Sarah Mildren,1
Aishi Das,1
Kanon Sawashiro,1
Isabel Higuita Barraza Mariana,1
Maitane Arconada Usue,1
Ana Konjuh,1
Carol Zhao,1
Ellie Schoppe,1
Maaya Rajeshwaran Revathi,1
Carmen Lopez Martinez,1
Carmen Gallardo Guevara,1
Selina Atay,1
Ekaterina Ovcharenko,1
Mary Lewis,1
Julie Pastikova,1
