Player,Points
Jannik Sinner,4000
Carlos Alcaraz,3650
Alexander Zverev,2340
Daniil Medvedev,1760
Arthur Fils,1580
Ben Shelton,1570
Novak Djokovic,1400
Alex de Minaur,1305
Felix Auger-Aliassime,1215
Tomas Martin Etcheverry,1135
Flavio Cobolli,1120
Jiri Lehecka,1095
Francisco Cerundolo,1050
Tommy Paul,1025
Andrey Rublev,1010
Alexander Bublik,970
Frances Tiafoe,955
Jakub Mensik,945
Luciano Darderi,895
Rafael Jodar,869
Valentin Vacherot,810
Learner Tien,795
Lorenzo Musetti,785
Taylor Fritz,765
Alejandro Tabilo,675
Sebastian Baez,675
Cameron Norrie,660
Ugo Humbert,620
Tomas Machac,610
Vit Kopriva,600
Brandon Nakashima,595
Sebastian Korda,590
Mariano Navone,569
Casper Ruud,565
Tallon Griekspoor,550
Joao Fonseca,540
Alejandro Davidovich Fokina,510
Alexander Blockx,505
Ethan Quinn,503
Hamad Medjedovic,501
Fabian Marozsan,500
Alex Michelsen,485
Adolfo Daniel Vallejo,469
Marin Cilic,465
Hubert Hurkacz,465
Roman Andres Burruchaga,447
Stefanos Tsitsipas,445
Daniel Merida,437
Zizou Bergs,435
Denis Shapovalov,430
Camilo Ugo Carabelli,425
Karen Khachanov,420
Miomir Kecmanovic,420
Botic van de Zandschulp,415
Raphael Collignon,408
Quentin Halys,403
Thiago Agustin Tirante,398
Luca Van Assche,391
Yannick Hanfmann,389
Rinky Hijikata,385
Marcos Giron,375
James Duckworth,374
Corentin Moutet,370
Ignacio Buse,370
Marco Trungelliti,361
Nuno Borges,360
Arthur Rinderknech,360
Terence Atmane,352
Mattia Bellucci,352
Jaime Faria,327
Yibing Wu,322
Alex Molcan,316
Matteo Berrettini,315
Adrian Mannarino,310
Juan Manuel Cerundolo,309
Aleksandar Kovacevic,303
Pablo Carreno Busta,303
Sebastian Ofner,300
Dino Prizmic,298
Aleksandr Shevchenko,297
Arthur Gea,296
Borna Gojo,296
Martin Landaluce,295
Toby Samuel,289
Zachary Svajda,276
Dane Sweeny,274
Francesco Maestrelli,266
Stan Wawrinka,265
Jack Draper,260
Emilio Nava,257
Titouan Droguet,253
Pedro Martinez,248
Damir Dzumhur,246
Martin Damm,244
Benjamin Bonzi,241
Elmer Moller,240
Rei Sakamoto,239
Alex Bolt,238
Vilius Gaubas,235
Cristian Garin,235
Nicolas Mejia,232
Jaume Munar,230
Sho Shimabukuro,228
Marton Fucsovics,225
Adam Walton,225
Hugo Dellien,223
Chris Rodesch,222
Nishesh Basavareddy,220
Jan-Lennard Struff,218
Zhizhen Zhang,215
Alexandre Muller,214
Daniel Altmaier,214
Eliot Spizzirri,213
Kamil Majchrzak,212
Zsombor Piros,210
Gustavo Heide,206
Giovanni Mpetshi Perricard,205
Valentin Royer,202
Alexei Popyrin,200
Henrique Rocha,199
Pablo Llamas Ruiz,197
Pavel Kotov,196
Coleman Wong,196
Daniil Glinka,196
Jack Pinnington Jones,195
Kyrian Jacquet,194
Christopher O'Connell,192
Michael Mmoh,191
Reilly Opelka,190
Joel Schwaerzler,190
Stefano Travaglia,188
Facundo Diaz Acosta,188
Nicolai Budkov Kjaer,187
Gabriel Diallo,185
Jenson Brooksby,185
Liam Broady,181
Leandro Riedi,180
Francisco Comesana,178
Clement Tabur,178
Dalibor Svrcina,174
Lloyd Harris,174
Dusan Lajovic,173
Stefan Dostanic,173
Felix Gill,173
Clement Chidekh,170
Stefanos Sakellaridis,169
Roman Safiullin,168
Tomas Barrios Vera,166
Andrea Guerrieri,166
Lautaro Midon,166
Moise Kouame,163
Rio Noguchi,162
Arthur Fery,161
Jurij Rodionov,161
Federico Agustin Gomez,160
Alexis Galarneau,158
Tristan Schoolkate,157
Stefan Kozlov,156
Raul Brancaccio,155
Gauthier Onclin,154
Patrick Kypson,153
Pol Martin Tiffon,153
Stefano Napolitano,150
Timofey Skatov,150
Max Houkes,147
Guido Ivan Justo,146
Luca Nardi,145
Ilia Simakin,145
Roberto Bautista Agut,144
Gianluca Cadenasso,141
Gael Monfils,140
Elias Ymer,140
Juan Carlos Prado Angelo,140
Harry Wendelken,140
Marco Cecchinato,139
Zdenek Kolar,139
Juan Pablo Varillas,138
Liam Draxl,137
Soonwoo Kwon,136
Lorenzo Sonego,135
Nikoloz Basilashvili,132
Andy Andrade,131
Mackenzie McDonald,130
Gonzalo Bueno,128
Diego Dedura,128
Matias Soto,127
Filip Cristian Jianu,126
Lukas Neumayer,123
Sergey Fomin,123
James McCabe,123
Facundo Mena,121
Pedro Boscardin Dias,120
Juan Pablo Ficovich,118
Jay Clarke,117
Mikhail Kukushkin,117
Hayato Matsuoka,116
Federico Cina,115
Frederico Ferreira Silva,115
Darwin Blanch,114
