Player,Points
Jannik Sinner,4900
Carlos Alcaraz,3650
Alexander Zverev,2940
Arthur Fils,1880
Daniil Medvedev,1810
Ben Shelton,1570
Novak Djokovic,1400
Alex de Minaur,1305
Flavio Cobolli,1270
Felix Auger-Aliassime,1215
Jiri Lehecka,1195
Tomas Martin Etcheverry,1135
Francisco Cerundolo,1100
Tommy Paul,1025
Andrey Rublev,1010
Jakub Mensik,995
Alexander Bublik,970
Rafael Jodar,969
Frances Tiafoe,955
Luciano Darderi,895
Alexander Blockx,855
Alejandro Tabilo,850
Valentin Vacherot,810
Learner Tien,795
Lorenzo Musetti,785
Taylor Fritz,765
Casper Ruud,715
Sebastian Baez,675
Cameron Norrie,660
Ugo Humbert,620
Tomas Machac,610
Vit Kopriva,600
Brandon Nakashima,595
Sebastian Korda,590
Mariano Navone,569
Hubert Hurkacz,555
Ethan Quinn,553
Tallon Griekspoor,550
Joao Fonseca,540
Zizou Bergs,525
Alejandro Davidovich Fokina,510
Hamad Medjedovic,501
Fabian Marozsan,500
Roman Andres Burruchaga,497
Stefanos Tsitsipas,495
Alex Michelsen,485
Adolfo Daniel Vallejo,475
Marin Cilic,465
Daniel Merida,437
Denis Shapovalov,430
Camilo Ugo Carabelli,425
Karen Khachanov,420
Miomir Kecmanovic,420
Botic van de Zandschulp,415
Rinky Hijikata,410
Raphael Collignon,408
Quentin Halys,400
Marcos Giron,400
Thiago Agustin Tirante,398
Ignacio Buse,395
Luca Van Assche,391
Yannick Hanfmann,389
Nuno Borges,385
James Duckworth,382
Jaime Faria,377
Corentin Moutet,370
Mattia Bellucci,365
Marco Trungelliti,361
Arthur Rinderknech,360
Terence Atmane,352
Yibing Wu,347
Matteo Berrettini,340
Juan Manuel Cerundolo,322
Aleksandar Kovacevic,316
Alex Molcan,316
Sebastian Ofner,313
Aleksandr Shevchenko,310
Adrian Mannarino,310
Martin Landaluce,308
Pablo Carreno Busta,303
Dino Prizmic,298
Arthur Gea,296
Borna Gojo,296
Toby Samuel,295
Zachary Svajda,276
Dane Sweeny,274
Coleman Wong,271
Emilio Nava,270
Adam Walton,269
Roman Safiullin,268
Francesco Maestrelli,266
Stan Wawrinka,265
Jack Draper,260
Titouan Droguet,260
Alex Bolt,260
Cristian Garin,248
Pedro Martinez,248
Damir Dzumhur,246
Rei Sakamoto,246
Martin Damm,244
Benjamin Bonzi,241
Elmer Moller,240
Matteo Arnaldi,238
Vilius Gaubas,235
Michael Mmoh,235
Sho Shimabukuro,234
Nicolas Mejia,232
Jaume Munar,230
Gauthier Onclin,229
Marton Fucsovics,225
Hugo Dellien,223
Chris Rodesch,222
Nishesh Basavareddy,220
Jan-Lennard Struff,218
Zsombor Piros,216
Valentin Royer,215
Zhizhen Zhang,215
Alexandre Muller,214
Daniel Altmaier,214
Eliot Spizzirri,213
Kamil Majchrzak,212
Pol Martin Tiffon,209
Gustavo Heide,206
Giovanni Mpetshi Perricard,205
Alexei Popyrin,200
Henrique Rocha,199
Pablo Llamas Ruiz,197
Pavel Kotov,196
Daniil Glinka,196
Jack Pinnington Jones,195
Kyrian Jacquet,194
Christopher O'Connell,192
Gianluca Cadenasso,191
Reilly Opelka,190
Joel Schwaerzler,190
Stefano Travaglia,188
Facundo Diaz Acosta,188
Nicolai Budkov Kjaer,187
Liam Broady,187
Dalibor Svrcina,186
Gabriel Diallo,185
Jenson Brooksby,185
Zdenek Kolar,183
Leandro Riedi,180
Francisco Comesana,178
Clement Tabur,178
Raul Brancaccio,177
Stefanos Sakellaridis,175
Lloyd Harris,174
Felix Gill,174
Dusan Lajovic,173
Tomas Barrios Vera,173
Stefan Dostanic,173
Alexis Galarneau,170
Clement Chidekh,170
Andrea Guerrieri,168
Rio Noguchi,168
Lautaro Midon,166
Moise Kouame,163
Arthur Fery,161
Jurij Rodionov,161
Federico Agustin Gomez,160
Stefan Kozlov,160
Roberto Bautista Agut,157
Tristan Schoolkate,157
Nikolas Sanchez Izquierdo,154
Patrick Kypson,153
Marco Cecchinato,151
Stefano Napolitano,150
Timofey Skatov,150
Max Houkes,150
Lukas Neumayer,148
Guido Ivan Justo,148
Luca Nardi,145
Ilia Simakin,145
Buvaysar Gadamauri,144
Harry Wendelken,141
Gael Monfils,140
Elias Ymer,140
Juan Carlos Prado Angelo,140
Darwin Blanch,139
Juan Pablo Varillas,138
Liam Draxl,137
Alastair Gray,137
Soonwoo Kwon,136
Lorenzo Sonego,135
Andy Andrade,135
Diego Dedura,135
Nikoloz Basilashvili,132
Mackenzie McDonald,130
Gonzalo Bueno,128
Matias Soto,127
Sergey Fomin,127
Filip Cristian Jianu,127
Facundo Mena,126
Keegan Smith,126
Andrea Pellegrino,125
Jay Clarke,123
James McCabe,123
Frederico Ferreira Silva,121
Hayato Matsuoka,121
Pierre-Hugues Herbert,120
Pedro Boscardin Dias,120
Mikhail Kukushkin,120
Michael Geerts,119
Juan Pablo Ficovich,118
Tung-Lin Wu,118
Tom Gentzsch,118
Florent Bax,118
Hugo Gaston,117
Charles Broom,117
Federico Cina,115
Kimmer Coppejans,114
Rodrigo Pacheco Mendez,114
Roberto Carballes Baena,113
Luka Pavlovic,113
Francesco Passaro,112
Maks Kasnikowski,112
Alejandro Moro Canas,111
Remy Bertola,111
Otto Virtanen,110
Chun-Hsin Tseng,109
Fajing Sun,108
Marek Gengel,108
Billy Harris,104
Aleksandar Vukic,103
Murphy Cassone,103
Michael Zheng,102
Thiago Monteiro,102
Marc-Andrea Huesler,102
Juncheng Shang,100
Braden Shick,99
Colton Smith,97
Jack Kennedy,97
Genaro Alberto Olivieri,97
Vitaliy Sachko,96
Igor Marcondes,96
Grigor Dimitrov,95
Kaichi Uchida,95
Yunchaokete Bu,94
Mili Poljicak,94
Michele Ribecai,94
Filippo Romano,94
Jonas Forejtek,93
Juan Estevez,93
Miguel Damas,93
Manas Dhamne,91
Ugo Blanchet,90
Blaise Bicknell,90
Edas Butvilas,89
August Holmgren,89
Philip Henning,89
Matteo Martineau,88
Joao Lucas Reis Da Silva,88
Mert Alkaya,88
Jesper de Jong,87
Andrea Collarini,87
Blake Ellis,87
Lorenzo Giustino,87
Jan Choinski,86
Alvaro Guillen Meza,85
Max Alcala Gurri,84
Juan Manuel La Serna,83
Franco Roncadelli,83
Franco Agamenone,82
Carlos Sanchez Jover,82
Li Tu,81
Andrej Nedic,81
Eliakim Coulibaly,81
Philip Sekulic,81
Yu Hsiou Hsu,81
Florian Broska,80
Yosuke Watanuki,79
Eduardo Ribeiro,79
Thomas Faurel,79
Dominic Stricker,78
Alex Martinez,78
Thiago Seyboth Wild,77
Federico Bondioli,77
Tibo Colson,76
Alafia Ayeni,76
Hynek Barton,76
Valerio Aboian,76
Inaki Montes-De La Torre,75
