Player,Points
Carlos Alcaraz,2960
Jannik Sinner,2910
Daniil Medvedev,1710
Alexander Zverev,1700
Novak Djokovic,1400
Ben Shelton,1060
Alex de Minaur,1055
Tommy Paul,1015
Arthur Fils,980
Felix Auger-Aliassime,975
Frances Tiafoe,955
Jiri Lehecka,905
Jakub Mensik,905
Tomas Martin Etcheverry,895
Francisco Cerundolo,860
Luciano Darderi,795
Learner Tien,785
Alexander Bublik,770
Taylor Fritz,765
Flavio Cobolli,700
Alejandro Tabilo,658
Andrey Rublev,630
Sebastian Baez,625
Ugo Humbert,610
Sebastian Korda,590
Lorenzo Musetti,585
Rafael Jodar,569
Mariano Navone,539
Brandon Nakashima,535
Tallon Griekspoor,500
Cameron Norrie,460
Alejandro Davidovich Fokina,460
Roman Andres Burruchaga,447
Alex Michelsen,435
Casper Ruud,425
Valentin Vacherot,410
Miomir Kecmanovic,410
Ethan Quinn,408
Vit Kopriva,400
Adolfo Daniel Vallejo,399
Marin Cilic,395
Stefanos Tsitsipas,395
Tomas Machac,390
Quentin Halys,387
Fabian Marozsan,380
Rinky Hijikata,373
Karen Khachanov,370
Luca Van Assche,367
Botic van de Zandschulp,365
Marcos Giron,365
Yannick Hanfmann,359
Daniel Merida,354
Thiago Agustin Tirante,348
Hubert Hurkacz,345
Camilo Ugo Carabelli,345
Ignacio Buse,340
Marco Trungelliti,328
Denis Shapovalov,320
Alexander Blockx,315
Mattia Bellucci,307
Aleksandar Kovacevic,303
Adrian Mannarino,300
Arthur Gea,296
Borna Gojo,296
Alexander Shevchenko,287
Zizou Bergs,285
Raphael Collignon,283
Jaime Faria,281
Zachary Svajda,276
Hamad Medjedovic,276
Pablo Carreno Busta,273
Corentin Moutet,270
Dane Sweeny,268
Toby Samuel,267
Francesco Maestrelli,266
Stan Wawrinka,265
Terence Atmane,262
Juan Manuel Cerundolo,261
Martin Landaluce,260
Jack Draper,260
Nuno Borges,250
James Duckworth,249
Sebastian Ofner,245
Yibing Wu,237
Nicolas Mejia,224
Rei Sakamoto,223
Pedro Martinez,223
Titouan Droguet,223
Arthur Rinderknech,220
Marton Fucsovics,215
Eliot Spizzirri,213
Kamil Majchrzak,212
Chris Rodesch,212
Damir Dzumhur,206
Sho Shimabukuro,206
Matteo Berrettini,205
Giovanni Mpetshi Perricard,205
Zhizhen Zhang,205
Alex Bolt,203
Emilio Nava,201
Joao Fonseca,200
Jaume Munar,200
Jack Pinnington Jones,195
Martin Damm,194
Kyrian Jacquet,194
Christopher O'Connell,192
Benjamin Bonzi,191
Alexandre Muller,191
Alexei Popyrin,190
Jan-Lennard Struff,188
Coleman Wong,188
Vilius Gaubas,185
Facundo Diaz Acosta,182
Reilly Opelka,180
Adam Walton,179
Jenson Brooksby,175
Cristian Garin,175
Stefano Travaglia,172
Daniil Glinka,172
Elmer Moller,170
Michael Mmoh,169
Francisco Comesana,168
Felix Gill,168
Tomas Barrios Vera,166
Dino Prizmic,164
Lloyd Harris,164
Joel Schwaerzler,162
Pablo Llamas Ruiz,160
Federico Agustin Gomez,160
Clement Chidekh,156
Daniel Altmaier,154
Henrique Rocha,154
Stefanos Sakellaridis,151
Arthur Fery,147
Raul Brancaccio,147
Rio Noguchi,146
Luca Nardi,145
Alexis Galarneau,144
Lautaro Midon,144
Liam Broady,142
Stefan Kozlov,142
Gael Monfils,140
Elias Ymer,140
Zdenek Kolar,139
Moise Kouame,138
Pavel Kotov,138
Hugo Dellien,136
Gianluca Cadenasso,135
Nishesh Basavareddy,133
Gustavo Heide,131
Marco Cecchinato,131
Pol Martin Tiffon,131
Mackenzie McDonald,130
Dalibor Svrcina,130
Guido Ivan Justo,130
Tristan Schoolkate,129
Ilia Simakin,128
Juan Pablo Varillas,126
Gabriel Diallo,125
Zsombor Piros,125
Roberto Bautista Agut,124
Lukas Neumayer,123
Stefan Dostanic,123
Liam Draxl,121
Patrick Kypson,120
Nicolai Budkov Kjaer,117
Timofey Skatov,117
Jay Clarke,117
Federico Cina,115
Dusan Lajovic,115
Harry Wendelken,115
Facundo Mena,115
Filip Cristian Jianu,114
Roberto Carballes Baena,113
Valentin Royer,112
Andrea Pellegrino,112
Francesco Passaro,112
Hayato Matsuoka,112
Juan Pablo Ficovich,110
Mikhail Kukushkin,110
Keegan Smith,110
Jurij Rodionov,109
Aleksandar Vukic,103
Murphy Cassone,103
Max Houkes,103
Michael Zheng,102
Nikoloz Basilashvili,102
Thiago Monteiro,102
Chun-Hsin Tseng,101
Andy Andrade,101
Juncheng Shang,100
Frederico Ferreira Silva,99
Pierre-Hugues Herbert,98
Remy Bertola,98
Maks Kasnikowski,98
Colton Smith,97
Genaro Alberto Olivieri,97
Matias Soto,97
James McCabe,97
Billy Harris,96
Alejandro Moro Canas,96
Igor Marcondes,96
Juan Carlos Prado Angelo,96
Hugo Gaston,94
Charles Broom,94
Michele Ribecai,92
Alex Molcan,91
Tung-Lin Wu,91
Clement Tabur,91
Braden Shick,91
Tom Gentzsch,91
Kaichi Uchida,91
Ugo Blanchet,90
Diego Dedura,89
Michael Geerts,88
Andrea Collarini,87
Lorenzo Giustino,87
Darwin Blanch,86
Stefano Napolitano,86
Pedro Boscardin Dias,86
Grigor Dimitrov,85
Otto Virtanen,85
Juan Estevez,85
Buvaysar Gadamauri,84
Marek Gengel,84
Rodrigo Pacheco Mendez,84
Mili Poljicak,83
Kimmer Coppejans,83
Matteo Martineau,82
Filippo Romano,81
Florian Broska,80
Blaise Bicknell,80
Yosuke Watanuki,79
Eduardo Ribeiro,79
