Player,Points
Jannik Sinner,7950
Alexander Zverev,6660
Carlos Alcaraz,3660
Flavio Cobolli,3440
Arthur Fils,3150
Ben Shelton,3140
Daniil Medvedev,2630
Frances Tiafoe,2540
Rafael Jodar,2509
Taylor Fritz,2390
Novak Djokovic,2330
Felix Auger-Aliassime,2325
Alex de Minaur,2320
Jakub Mensik,2265
Brandon Nakashima,2235
Tommy Paul,2235
Luciano Darderi,1950
Learner Tien,1805
Jiri Lehecka,1805
Casper Ruud,1795
Francisco Cerundolo,1790
Andrey Rublev,1780
Alexander Bublik,1635
Alejandro Tabilo,1375
Arthur Fery,1373
Ignacio Buse,1370
Tomas Martin Etcheverry,1365
Alejandro Davidovich Fokina,1300
Ugo Humbert,1270
Lorenzo Musetti,1245
Alexander Blockx,1240
Matteo Arnaldi,1231
Joao Fonseca,1200
Daniel Merida,1127
Hubert Hurkacz,1080
Luca Van Assche,1042
Mariano Navone,1014
Quentin Halys,987
Thiago Agustin Tirante,986
Stefanos Tsitsipas,985
Sebastian Baez,984
Zizou Bergs,980
Alex Michelsen,945
Valentin Vacherot,940
Cameron Norrie,930
Nuno Borges,920
Juan Manuel Cerundolo,920
Raphael Collignon,918
Matteo Berrettini,913
Karen Khachanov,900
Jaime Faria,853
Ethan Quinn,847
Miomir Kecmanovic,813
Jan-Lennard Struff,806
Fabian Marozsan,800
Vit Kopriva,787
Botic van de Zandschulp,780
Yannick Hanfmann,780
Adolfo Daniel Vallejo,780
Arthur Rinderknech,770
Denis Shapovalov,765
Tallon Griekspoor,765
Martin Landaluce,748
Roman Andres Burruchaga,742
Hamad Medjedovic,741
Tomas Machac,710
Pablo Carreno Busta,695
Daniel Altmaier,694
Camilo Ugo Carabelli,690
Zachary Svajda,689
Kamil Majchrzak,677
James Duckworth,674
Arthur Gea,671
Aleksandar Kovacevic,667
Rinky Hijikata,654
Facundo Diaz Acosta,653
Alex Molcan,622
Marcos Giron,616
Terence Atmane,612
Toby Samuel,609
Marin Cilic,605
Dino Prizmic,603
Adrian Mannarino,600
Roman Safiullin,594
Sebastian Korda,590
Adam Walton,589
Mattia Bellucci,576
Marco Trungelliti,562
Jaume Munar,530
Aleksandr Shevchenko,530
Zsombor Piros,530
Jan Choinski,520
Jesper de Jong,519
Damir Dzumhur,511
Jacob Fearnley,506
Coleman Wong,503
Benjamin Bonzi,502
Christopher O'Connell,499
Jenson Brooksby,493
Corentin Moutet,490
Yibing Wu,485
Martin Damm,481
Nicolas Mejia,479
Emilio Nava,477
Sebastian Ofner,475
Hugo Gaston,459
Yunchaokete Bu,458
Valentin Royer,455
Kyrian Jacquet,436
Lorenzo Sonego,433
Michael Zheng,432
Grigor Dimitrov,422
Sho Shimabukuro,421
Alexei Popyrin,408
Gustavo Heide,402
Marton Fucsovics,400
Aleksandar Vukic,400
Hugo Dellien,400
Otto Virtanen,396
Stefanos Sakellaridis,396
Lloyd Harris,391
Andrea Pellegrino,382
Francisco Comesana,381
Pablo Llamas Ruiz,381
Shintaro Mochizuki,376
Giovanni Mpetshi Perricard,375
Dalibor Svrcina,371
Dane Sweeny,371
Vilius Gaubas,367
Pedro Martinez,367
Henrique Rocha,366
Jack Draper,360
Soonwoo Kwon,355
Jurij Rodionov,350
Rei Sakamoto,346
Borna Gojo,342
Zhizhen Zhang,340
Nishesh Basavareddy,336
Gabriel Diallo,325
Cristian Garin,324
Gauthier Onclin,320
Andrea Guerrieri,319
Tom Gentzsch,319
Stan Wawrinka,318
Chris Rodesch,317
Federico Cina,312
Nikoloz Basilashvili,310
Elmer Moller,309
Max Alcala Gurri,309
Michael Mmoh,299
Joel Schwaerzler,299
Alex Bolt,294
Lukas Neumayer,292
Marco Cecchinato,292
Jan Kumstat,290
Dusan Lajovic,289
Stefano Travaglia,284
Francesco Maestrelli,282
Thiago Seyboth Wild,281
Timofey Skatov,280
Moise Kouame,279
Daniil Glinka,275
Taro Daniel,273
Clement Tabur,272
Alexis Galarneau,269
Alexandre Muller,268
Andre Ilagan,266
Jack Pinnington Jones,265
Lautaro Midon,263
Keegan Smith,263
Clement Chidekh,262
Tomas Barrios Vera,261
Bernard Tomic,257
Nicolai Budkov Kjaer,253
Laslo Djere,253
Tristan Schoolkate,252
Juan Carlos Prado Angelo,252
Gonzalo Bueno,252
David Jorda Sanchis,250
Braden Shick,248
Pol Martin Tiffon,245
Colton Smith,244
Liam Draxl,242
Tristan Boyer,238
Liam Broady,237
Nikolas Sanchez Izquierdo,235
Henry Searle,234
Roberto Bautista Agut,233
Patrick Kypson,233
Harry Wendelken,233
Zdenek Kolar,232
Chun-Hsin Tseng,228
Leandro Riedi,227
Raul Brancaccio,227
Guido Ivan Justo,226
J.J. Wolf,225
Eliot Spizzirri,223
Maxim Mrva,220
Felix Gill,219
Edas Butvilas,218
Andy Andrade,217
Rio Noguchi,216
Mackenzie McDonald,215
Kimmer Coppejans,214
Hayato Matsuoka,214
Roberto Carballes Baena,213
Remy Bertola,211
Pavel Kotov,207
Juan Pablo Varillas,207
Maks Kasnikowski,205
Charles Broom,203
Marvin Moeller,202
Reilly Opelka,200
Gianluca Cadenasso,199
Felix Balshaw,198
Kilian Feldbausch,197
Darwin Blanch,195
Buvaysar Gadamauri,195
Matias Soto,194
Jerome Kym,193
Dominic Stricker,193
Philip Henning,193
Franco Roncadelli,192
August Holmgren,191
Elias Ymer,190
Cezar Cretu,190
Andrej Nedic,190
Francesco Passaro,189
Mili Poljicak,189
Sumit Nagal,186
Stefan Kozlov,185
Billy Harris,184
Stefano Napolitano,184
Alastair Gray,184
Max Houkes,184
Marc-Andrea Huesler,183
Matheus Pucinelli De Almeida,183
James McCabe,182
Stefan Dostanic,181
Ilia Simakin,181
Luca Nardi,180
Matej Dodig,179
Rodrigo Pacheco Mendez,179
Petr Nesterov,178
Pierre-Hugues Herbert,177
Juan Manuel La Serna,175
Max Hans Rehberg,175
Hynek Barton,175
Alejandro Moro Canas,174
Filip Cristian Jianu,174
Guy Den Ouden,173
Henri Squire,173
Inaki Montes-De La Torre,171
Vitaliy Sachko,171
Sean Cuenin,171
Facundo Mena,171
Matthew Dellavedova,171
Juncheng Shang,170
Gael Monfils,170
Radu Mihai Papoe,170
Jay Clarke,170
Florent Bax,168
Lorenzo Giustino,168
Nick Hardt,167
Filippo Romano,167
Carl Emil Overbeck,166
Giles Hussey,165
Martin Krumich,165
Federico Bondioli,164
Florian Broska,163
Max Schoenhaus,160
Oliver Tarvet,159
Oliver Crawford,158
Sandro Kopp,158
Matteo Martineau,157
Michele Ribecai,157
Frederico Ferreira Silva,156
Thiago Monteiro,155
Genaro Alberto Olivieri,155
Sergey Fomin,155
Dali Blanch,154
Luciano Emanuel Ambrogi,154
Oriol Roca Batalla,153
Juan Bautista Torres,152
Anton Matusevich,151
Daniel Milavsky,149
Carlos Sanchez Jover,148
Enrico Dalla Valle,148
Mees Rottgering,147
Gonzalo Villanueva,147
Lucas Poullain,146
Yu Hsiou Hsu,145
Thomas Faurel,143
Aidan Mayo,143
Cruz Hewitt,142
Juan Estevez,142
Fajing Sun,139
Mert Alkaya,139
Murphy Cassone,138
Michael Geerts,138
Andres Martin,138
Franco Agamenone,138
Pedro Boscardin Dias,135
Laurent Lokoli,134
Francesco Forti,134
Yanki Erel,134
Calvin Hemery,134
Igor Marcondes,133
Tiago Torres,132
Juan Pablo Ficovich,131
Miguel Damas,131
Tiago Pereira,131
Joao Lucas Reis Da Silva,130
Max Basing,129
Ilya Ivashka,129
Jacopo Vasami,129
Daniel Elahi Galan,129
Thanasi Kokkinakis,128
Lucio Ratti,128
Alex Barrena,128
Mikhail Kukushkin,127
Tung-Lin Wu,127
Petr Bar Biryukov,127
Tommaso Compagnucci,125
Alejo Sanchez Quilez,125
Ivan Marrero Curbelo,124
Jake Delaney,124
Jack Kennedy,123
Mathys Erhard,123
