Player,Points
Jannik Sinner,5950
Carlos Alcaraz,3650
Alexander Zverev,3440
Daniil Medvedev,2220
Arthur Fils,1900
Ben Shelton,1680
Casper Ruud,1665
Alex de Minaur,1615
Rafael Jodar,1569
Flavio Cobolli,1520
Novak Djokovic,1510
Tommy Paul,1505
Felix Auger-Aliassime,1475
Jakub Mensik,1455
Luciano Darderi,1435
Andrey Rublev,1410
Jiri Lehecka,1255
Frances Tiafoe,1255
Francisco Cerundolo,1250
Learner Tien,1245
Tomas Martin Etcheverry,1195
Alexander Bublik,1130
Alejandro Tabilo,1055
Ignacio Buse,960
Alexander Blockx,955
Joao Fonseca,950
Lorenzo Musetti,885
Valentin Vacherot,860
Mariano Navone,834
Ugo Humbert,820
Taylor Fritz,775
Karen Khachanov,770
Brandon Nakashima,745
Sebastian Baez,718
Tomas Machac,690
Cameron Norrie,680
Juan Manuel Cerundolo,680
Vit Kopriva,680
Miomir Kecmanovic,675
Alejandro Davidovich Fokina,660
Hamad Medjedovic,651
Alex Michelsen,645
Raphael Collignon,623
Tallon Griekspoor,620
Martin Landaluce,618
Hubert Hurkacz,615
Camilo Ugo Carabelli,610
Adolfo Daniel Vallejo,609
Thiago Agustin Tirante,598
Sebastian Korda,590
Stefanos Tsitsipas,580
Ethan Quinn,573
Zizou Bergs,570
Roman Andres Burruchaga,570
Aleksandar Kovacevic,564
Matteo Berrettini,563
Pablo Carreno Busta,558
Quentin Halys,550
Jaime Faria,536
Fabian Marozsan,520
Nuno Borges,515
Zachary Svajda,506
Marin Cilic,505
Matteo Arnaldi,488
Yannick Hanfmann,479
Daniel Merida,477
Botic van de Zandschulp,475
Dino Prizmic,468
Arthur Rinderknech,460
Denis Shapovalov,450
Luca Van Assche,441
Rinky Hijikata,433
Marcos Giron,433
James Duckworth,432
Marco Trungelliti,421
Mattia Bellucci,418
Yibing Wu,397
Terence Atmane,392
Corentin Moutet,390
Daniel Altmaier,367
Emilio Nava,353
Sebastian Ofner,353
Aleksandr Shevchenko,350
Jaume Munar,350
Alex Molcan,349
Francisco Comesana,346
Facundo Diaz Acosta,343
Toby Samuel,335
Jesper de Jong,333
Adam Walton,333
Adrian Mannarino,330
Arthur Gea,321
Roman Safiullin,315
Borna Gojo,312
Stan Wawrinka,310
Alexei Popyrin,310
Cristian Garin,308
Pablo Llamas Ruiz,307
Damir Dzumhur,299
Jan-Lennard Struff,298
Hugo Dellien,298
Coleman Wong,297
Nishesh Basavareddy,296
Titouan Droguet,295
Dane Sweeny,288
Andrea Pellegrino,285
Stefanos Sakellaridis,281
Michael Mmoh,279
Martin Damm,275
Valentin Royer,275
Giovanni Mpetshi Perricard,270
Vilius Gaubas,268
Francesco Maestrelli,266
Rei Sakamoto,265
Benjamin Bonzi,264
Pedro Martinez,264
Moise Kouame,263
Elmer Moller,262
Jack Draper,260
Zsombor Piros,260
Alex Bolt,260
Gustavo Heide,258
Nikoloz Basilashvili,252
Marton Fucsovics,245
Zhizhen Zhang,239
Dalibor Svrcina,238
Nicolas Mejia,238
Pol Martin Tiffon,237
Soonwoo Kwon,236
Lukas Neumayer,235
Alexandre Muller,234
Kyrian Jacquet,234
Sho Shimabukuro,234
Chris Rodesch,234
Gauthier Onclin,229
Eliot Spizzirri,223
Kamil Majchrzak,222
Leandro Riedi,219
Nicolai Budkov Kjaer,211
Roberto Bautista Agut,210
Stefano Travaglia,210
Daniil Glinka,209
Federico Cina,207
Henrique Rocha,207
Andrea Guerrieri,207
Gianluca Cadenasso,207
Jenson Brooksby,205
Pavel Kotov,203
Zdenek Kolar,203
Jack Pinnington Jones,202
Joel Schwaerzler,202
Jurij Rodionov,201
Liam Broady,201
Reilly Opelka,200
Dusan Lajovic,198
Tomas Barrios Vera,198
Lorenzo Sonego,195
Gabriel Diallo,195
Patrick Kypson,193
Christopher O'Connell,192
Arthur Fery,191
Clement Tabur,191
Felix Gill,190
Juan Carlos Prado Angelo,186
Alexis Galarneau,186
Colton Smith,186
Raul Brancaccio,184
Lloyd Harris,182
Rio Noguchi,182
Stefan Dostanic,181
Hugo Gaston,180
Jan Choinski,179
Lautaro Midon,179
Laslo Djere,178
Clement Chidekh,176
Keegan Smith,176
Nikolas Sanchez Izquierdo,172
Buvaysar Gadamauri,169
Federico Agustin Gomez,166
Tristan Schoolkate,165
Stefano Napolitano,164
Max Alcala Gurri,164
Guido Ivan Justo,164
Stefan Kozlov,163
Franco Roncadelli,162
Pierre-Hugues Herbert,160
Timofey Skatov,160
Luca Nardi,159
Alastair Gray,158
Marco Cecchinato,157
Aleksandar Vukic,156
Max Houkes,156
Darwin Blanch,155
Luka Pavlovic,153
Filip Cristian Jianu,152
Diego Dedura,151
Elias Ymer,150
Andy Andrade,147
Jay Clarke,147
Chun-Hsin Tseng,146
Liam Draxl,145
Ilia Simakin,145
Yunchaokete Bu,144
Kimmer Coppejans,143
Florent Bax,143
Michael Zheng,142
Harry Wendelken,141
Gael Monfils,140
Juan Pablo Varillas,138
Juan Manuel La Serna,137
Maks Kasnikowski,137
Sergey Fomin,136
Tom Gentzsch,134
August Holmgren,133
Edas Butvilas,131
David Jorda Sanchis,131
Frederico Ferreira Silva,131
Mackenzie McDonald,130
James McCabe,130
Facundo Mena,130
Roberto Carballes Baena,129
Gonzalo Bueno,128
Matias Soto,127
Andrej Nedic,127
Mikhail Kukushkin,127
