Player,Points
Carlos Alcaraz,2900
Jannik Sinner,1900
Daniil Medvedev,1650
Novak Djokovic,1400
Alexander Zverev,1290
Alex de Minaur,1035
Ben Shelton,1000
Felix Auger-Aliassime,915
Jakub Mensik,845
Alexander Bublik,750
Tomas Martin Etcheverry,735
Learner Tien,725
Flavio Cobolli,680
Luciano Darderi,675
Taylor Fritz,665
Frances Tiafoe,655
Francisco Cerundolo,650
Andrey Rublev,610
Arthur Fils,580
Sebastian Baez,580
Lorenzo Musetti,575
Tommy Paul,565
Alejandro Tabilo,558
Brandon Nakashima,500
Sebastian Korda,490
Tallon Griekspoor,490
Ugo Humbert,460
Alejandro Davidovich Fokina,450
Casper Ruud,405
Cameron Norrie,400
Miomir Kecmanovic,390
Vit Kopriva,375
Adolfo Daniel Vallejo,374
Rinky Hijikata,360
Marcos Giron,355
Tomas Machac,350
Ethan Quinn,342
Marin Cilic,335
Stefanos Tsitsipas,335
Hubert Hurkacz,325
Karen Khachanov,310
Alex Michelsen,310
Luca Van Assche,307
Valentin Vacherot,300
Denis Shapovalov,300
Aleksandar Kovacevic,293
Quentin Halys,287
Ignacio Buse,285
Yannick Hanfmann,279
Dane Sweeny,268
Toby Samuel,267
Francesco Maestrelli,266
Stan Wawrinka,265
Alexander Blockx,265
Fabian Marozsan,260
Adrian Mannarino,260
Mariano Navone,259
Arthur Gea,252
Mattia Bellucci,252
Jack Draper,250
Rafael Jodar,249
Zachary Svajda,246
Zizou Bergs,245
Jiri Lehecka,245
Yibing Wu,237
Botic van de Zandschulp,235
Raphael Collignon,233
Nuno Borges,230
Juan Manuel Cerundolo,221
Jaime Faria,219
Camilo Ugo Carabelli,215
Eliot Spizzirri,213
Thiago Agustin Tirante,208
Sebastian Ofner,208
Arthur Rinderknech,200
Jaume Munar,200
Sho Shimabukuro,196
Chris Rodesch,196
James Duckworth,195
Giovanni Mpetshi Perricard,195
Pedro Martinez,193
Rei Sakamoto,186
Jack Pinnington Jones,182
Roman Andres Burruchaga,182
Benjamin Bonzi,181
Jan-Lennard Struff,178
Coleman Wong,178
Vilius Gaubas,178
Marton Fucsovics,175
Titouan Droguet,173
Alexander Shevchenko,172
Kyrian Jacquet,172
Borna Gojo,171
Zhizhen Zhang,170
Daniel Merida,166
Daniil Glinka,166
Jenson Brooksby,165
Alex Bolt,165
Martin Damm,164
Christopher O'Connell,162
Joao Fonseca,160
Corentin Moutet,160
Clement Chidekh,156
Matteo Berrettini,155
Joel Schwaerzler,155
Terence Atmane,152
Hamad Medjedovic,151
Marco Trungelliti,150
Lloyd Harris,150
Pablo Carreno Busta,148
Federico Agustin Gomez,147
Luca Nardi,145
Elmer Moller,145
Henrique Rocha,141
Elias Ymer,140
Dino Prizmic,139
Zdenek Kolar,139
Pavel Kotov,138
Kamil Majchrzak,137
Emilio Nava,137
Stefan Kozlov,136
Felix Gill,136
Cristian Garin,135
Reilly Opelka,130
Dalibor Svrcina,130
Adam Walton,129
Ilia Simakin,128
Zsombor Piros,125
Tomas Barrios Vera,122
Alexis Galarneau,121
Alexei Popyrin,120
Patrick Kypson,120
Francisco Comesana,118
Arthur Fery,117
Pol Martin Tiffon,117
Nicolas Mejia,114
Filip Cristian Jianu,114
Francesco Passaro,112
Marco Cecchinato,111
Damir Dzumhur,110
Nicolai Budkov Kjaer,110
Lautaro Midon,110
Keegan Smith,110
Gustavo Heide,109
Nishesh Basavareddy,108
Moise Kouame,108
Mackenzie McDonald,105
Stefanos Sakellaridis,105
Guido Ivan Justo,105
Timofey Skatov,104
Mikhail Kukushkin,104
Michael Zheng,102
Dusan Lajovic,102
Jurij Rodionov,102
Chun-Hsin Tseng,101
Juncheng Shang,100
Jay Clarke,100
Facundo Diaz Acosta,100
Federico Cina,99
Pierre-Hugues Herbert,98
Stefan Dostanic,98
Colton Smith,97
Stefano Travaglia,97
Genaro Alberto Olivieri,97
Billy Harris,96
Rio Noguchi,96
Igor Marcondes,96
Valentin Royer,95
Thiago Monteiro,95
Facundo Mena,95
Hugo Gaston,94
Michael Mmoh,94
Hayato Matsuoka,94
Frederico Ferreira Silva,93
Murphy Cassone,93
Andrea Pellegrino,92
Tristan Schoolkate,91
Maks Kasnikowski,91
Juan Pablo Varillas,91
Gael Monfils,90
Kaichi Uchida,90
James McCabe,89
Michael Geerts,88
Braden Shick,87
Diego Dedura,87
Andrea Collarini,87
Stefano Napolitano,86
Gabriel Diallo,85
Otto Virtanen,85
Remy Bertola,85
Ugo Blanchet,84
Clement Tabur,84
Liam Broady,84
Aleksandar Vukic,83
Max Houkes,83
Andres Andrade,80
Yosuke Watanuki,79
Florian Broska,79
Charles Broom,79
Liam Draxl,78
Roberto Bautista Agut,78
Tung-Lin Wu,77
Harry Wendelken,77
Alastair Gray,76
Alejandro Moro Canas,76
Lorenzo Sonego,75
Alexandre Muller,75
Carlos Sanchez Jover,75
Filippo Romano,74
Pedro Boscardin Dias,74
Lorenzo Giustino,73
Andrej Martin,72
Eduardo Ribeiro,72
Juan Estevez,72
Sean Cuenin,71
Buvaysar Gadamauri,70
Bernard Tomic,70
Marek Gengel,69
Jason Kubler,68
Miguel Damas,68
Hugo Dellien,67
Franco Agamenone,67
Jan Choinski,66
Grigor Dimitrov,65
Marc-Andrea Huesler,65
Oleg Prihodko,65
Tom Gentzsch,64
Philip Henning,64
Dragos Nicolae Madaras,64
Jacob Fearnley,63
Hugo Grenier,63
Florent Bax,63
Max Alcala Gurri,63
Jordan Thompson,62
Blake Ellis,62
Roberto Carballes Baena,62
Lui Maxted,62
Manas Dhamne,62
Maxim Mrva,61
Nikolas Sanchez Izquierdo,61
Matteo Martineau,60
Oliver Crawford,60
Alvaro Guillen Meza,60
Gianluca Cadenasso,60
Thiago Seyboth Wild,59
Juan Carlos Prado Angelo,59
Thomas Faurel,58
Denis Yevseyev,58
Marko Topo,57
Juan Manuel La Serna,57
Edas Butvilas,57
Daniel Masur,57
Stefan Palosi,57
Ioannis Xilas,57
Jerome Kym,55
Blaise Bicknell,55
Paul Jubb,55
Maximus Jones,54
Andrea Guerrieri,54
Max Basing,54
Petr Nesterov,54
Soonwoo Kwon,53
Juan Sebastian Gomez,53
Digvijaypratap Singh,53
Carl Emil Overbeck,53
