Player,Points
Carlos Alcaraz,2500
Novak Djokovic,1300
Alex de Minaur,985
Ben Shelton,950
Jannik Sinner,900
Alexander Zverev,840
Tomas Martin Etcheverry,725
Jakub Mensik,695
Alexander Bublik,650
Taylor Fritz,615
Felix Auger-Aliassime,615
Lorenzo Musetti,565
Learner Tien,525
Tommy Paul,515
Francisco Cerundolo,500
Daniil Medvedev,500
Alejandro Tabilo,478
Sebastian Korda,460
Sebastian Baez,430
Luciano Darderi,415
Andrey Rublev,400
Ugo Humbert,400
Arthur Fils,380
Tomas Machac,350
Vit Kopriva,335
Marin Cilic,325
Stefanos Tsitsipas,325
Hubert Hurkacz,315
Casper Ruud,305
Alejandro Davidovich Fokina,300
Adolfo Daniel Vallejo,293
Luca Van Assche,288
Ignacio Buse,275
Quentin Halys,264
Dane Sweeny,258
Karen Khachanov,250
Fabian Marozsan,250
Denis Shapovalov,250
Brandon Nakashima,250
Rinky Hijikata,240
Francesco Maestrelli,236
Marcos Giron,235
Botic van de Zandschulp,225
Frances Tiafoe,225
Adrian Mannarino,225
Zachary Svajda,216
Stan Wawrinka,215
Alexander Blockx,215
Zizou Bergs,215
Eliot Spizzirri,213
Jaime Faria,213
Alex Michelsen,210
Arthur Gea,205
Cameron Norrie,200
Jaume Munar,200
Rafael Jodar,199
Raphael Collignon,198
Chris Rodesch,196
Pedro Martinez,193
Aleksandar Kovacevic,193
Juan Manuel Cerundolo,191
Camilo Ugo Carabelli,185
Rei Sakamoto,183
Jack Pinnington Jones,182
Nuno Borges,175
Thiago Agustin Tirante,173
James Duckworth,172
Kyrian Jacquet,172
Roman Andres Burruchaga,172
Zhizhen Zhang,170
Jan-Lennard Struff,168
Alex Bolt,165
Martin Damm,164
Tallon Griekspoor,160
Daniil Glinka,160
Titouan Droguet,159
Ethan Quinn,157
Hamad Medjedovic,151
Valentin Vacherot,150
Lloyd Harris,150
Coleman Wong,150
Borna Gojo,149
Federico Agustin Gomez,147
Luca Nardi,145
Alexander Shevchenko,142
Toby Samuel,142
Yibing Wu,137
Daniel Merida,136
Jiri Lehecka,135
Miomir Kecmanovic,135
Giovanni Mpetshi Perricard,135
Christopher O'Connell,132
Elias Ymer,130
Flavio Cobolli,130
Stefan Kozlov,130
Vilius Gaubas,128
Marton Fucsovics,125
Matteo Berrettini,125
Clement Chidekh,124
Ilia Simakin,122
Elmer Moller,120
Pol Martin Tiffon,117
Sho Shimabukuro,116
Arthur Fery,114
Yannick Hanfmann,114
Francesco Passaro,112
Tomas Barrios Vera,112
Cristian Garin,110
Lautaro Midon,110
Nishesh Basavareddy,108
Nicolas Mejia,108
Zdenek Kolar,108
Kamil Majchrzak,107
Benjamin Bonzi,106
Michael Zheng,102
Dusan Lajovic,102
Corentin Moutet,100
Reilly Opelka,100
Juncheng Shang,100
Damir Dzumhur,100
Guido Ivan Justo,99
Pablo Carreno Busta,98
Timofey Skatov,98
Colton Smith,97
Gustavo Heide,97
Mikhail Kukushkin,97
Keegan Smith,97
Rio Noguchi,96
Moise Kouame,94
Filip Cristian Jianu,94
Hayato Matsuoka,93
Alexis Galarneau,91
Stefano Travaglia,91
Stefanos Sakellaridis,91
Felix Gill,90
James McCabe,89
Facundo Mena,89
Jay Clarke,87
Braden Shick,87
Kaichi Uchida,87
Frederico Ferreira Silva,85
Francisco Comesana,83
Andrea Collarini,81
Michael Geerts,80
Stefan Dostanic,79
Maks Kasnikowski,79
Liam Draxl,78
Emilio Nava,77
Liam Broady,77
Juan Pablo Varillas,77
Igor Marcondes,76
Lorenzo Sonego,75
Alexandre Muller,75
Yosuke Watanuki,75
Michael Mmoh,75
Florian Broska,75
Charles Broom,75
Aleksandar Vukic,73
Remy Bertola,73
Chun-Hsin Tseng,71
Alejandro Moro Canas,70
Patrick Kypson,70
Murphy Cassone,70
Bernard Tomic,70
Max Houkes,69
Jason Kubler,68
Tung-Lin Wu,68
Hugo Dellien,67
Marek Gengel,67
Juan Estevez,67
Clement Tabur,65
Oleg Prihodko,65
Dino Prizmic,64
Sean Cuenin,64
Alastair Gray,64
Dragos Nicolae Madaras,64
Pavel Kotov,63
Hugo Grenier,63
Jordan Thompson,62
Roberto Carballes Baena,62
Blake Ellis,62
Tristan Schoolkate,61
Andres Andrade,61
Franco Agamenone,61
Carlos Sanchez Jover,61
Joao Fonseca,60
Alexei Popyrin,60
Valentin Royer,60
Otto Virtanen,60
Philip Henning,60
Tom Gentzsch,60
Jurij Rodionov,59
Thiago Seyboth Wild,59
Andrej Martin,57
Florent Bax,57
Lorenzo Giustino,57
Ugo Blanchet,56
Maximus Jones,54
Thomas Faurel,54
Oliver Crawford,54
Denis Yevseyev,54
Soonwoo Kwon,53
Juan Sebastian Gomez,53
Marc-Andrea Huesler,53
Juan Manuel La Serna,53
Digvijaypratap Singh,53
Mattia Bellucci,52
Jan Choinski,52
Gianluca Cadenasso,52
Arthur Weber,52
Carl Emil Overbeck,52
Andrea Vavassori,51
