Player,Points
Jannik Sinner,5910
Carlos Alcaraz,3650
Alexander Zverev,3090
Daniil Medvedev,2220
Arthur Fils,1900
Ben Shelton,1640
Alex de Minaur,1525
Casper Ruud,1475
Novak Djokovic,1460
Tommy Paul,1415
Luciano Darderi,1395
Flavio Cobolli,1330
Felix Auger-Aliassime,1285
Jiri Lehecka,1255
Andrey Rublev,1220
Tomas Martin Etcheverry,1195
Rafael Jodar,1179
Francisco Cerundolo,1160
Learner Tien,1155
Alexander Bublik,1130
Jakub Mensik,1105
Frances Tiafoe,1065
Ignacio Buse,960
Alexander Blockx,955
Lorenzo Musetti,885
Alejandro Tabilo,865
Valentin Vacherot,820
Mariano Navone,794
Ugo Humbert,780
Taylor Fritz,775
Karen Khachanov,720
Sebastian Baez,718
Tomas Machac,690
Cameron Norrie,680
Miomir Kecmanovic,675
Alejandro Davidovich Fokina,660
Brandon Nakashima,655
Hamad Medjedovic,651
Vit Kopriva,640
Tallon Griekspoor,620
Joao Fonseca,600
Sebastian Korda,590
Hubert Hurkacz,575
Ethan Quinn,573
Camilo Ugo Carabelli,570
Zizou Bergs,570
Adolfo Daniel Vallejo,569
Aleksandar Kovacevic,564
Alex Michelsen,555
Thiago Agustin Tirante,548
Stefanos Tsitsipas,540
Raphael Collignon,533
Roman Andres Burruchaga,530
Martin Landaluce,528
Fabian Marozsan,520
Marin Cilic,505
Quentin Halys,500
Juan Manuel Cerundolo,490
Yannick Hanfmann,479
Daniel Merida,477
Botic van de Zandschulp,475
Dino Prizmic,468
Nuno Borges,465
Denis Shapovalov,450
Jaime Faria,446
Rinky Hijikata,433
Marcos Giron,433
James Duckworth,432
Marco Trungelliti,421
Arthur Rinderknech,420
Mattia Bellucci,418
Luca Van Assche,401
Terence Atmane,392
Corentin Moutet,390
Matteo Berrettini,373
Pablo Carreno Busta,368
Daniel Altmaier,367
Yibing Wu,357
Emilio Nava,353
Sebastian Ofner,353
Aleksandr Shevchenko,350
Jaume Munar,350
Alex Molcan,341
Toby Samuel,335
Adrian Mannarino,330
Arthur Gea,321
Zachary Svajda,316
Roman Safiullin,315
Stan Wawrinka,310
Alexei Popyrin,310
Cristian Garin,308
Pablo Llamas Ruiz,307
Facundo Diaz Acosta,303
Damir Dzumhur,299
Matteo Arnaldi,298
Hugo Dellien,298
Coleman Wong,297
Nishesh Basavareddy,296
Borna Gojo,296
Titouan Droguet,295
Dane Sweeny,288
Andrea Pellegrino,285
Adam Walton,283
Martin Damm,275
Valentin Royer,275
Giovanni Mpetshi Perricard,270
Francesco Maestrelli,266
Rei Sakamoto,265
Benjamin Bonzi,264
Elmer Moller,262
Jack Draper,260
