Player,Points
Jannik Sinner,4900
Carlos Alcaraz,3650
Alexander Zverev,2940
Arthur Fils,1880
Daniil Medvedev,1810
Ben Shelton,1570
Novak Djokovic,1400
Alex de Minaur,1305
Flavio Cobolli,1270
Felix Auger-Aliassime,1215
Jiri Lehecka,1195
Tomas Martin Etcheverry,1135
Francisco Cerundolo,1100
Tommy Paul,1025
Andrey Rublev,1010
Jakub Mensik,995
Alexander Bublik,970
Rafael Jodar,969
Frances Tiafoe,955
Luciano Darderi,895
Alexander Blockx,855
Alejandro Tabilo,850
Valentin Vacherot,810
Learner Tien,795
Lorenzo Musetti,785
Taylor Fritz,765
Casper Ruud,715
Sebastian Baez,675
Cameron Norrie,660
Ugo Humbert,620
Tomas Machac,610
Vit Kopriva,600
Brandon Nakashima,595
Sebastian Korda,590
Mariano Navone,569
Hubert Hurkacz,565
Ethan Quinn,563
Tallon Griekspoor,550
Joao Fonseca,540
Zizou Bergs,535
Alejandro Davidovich Fokina,510
Fabian Marozsan,510
Roman Andres Burruchaga,507
Stefanos Tsitsipas,505
Hamad Medjedovic,501
Alex Michelsen,495
Adolfo Daniel Vallejo,475
Daniel Merida,467
Marin Cilic,465
Denis Shapovalov,440
Camilo Ugo Carabelli,435
Karen Khachanov,420
Miomir Kecmanovic,420
Botic van de Zandschulp,415
Rinky Hijikata,410
Marcos Giron,410
Raphael Collignon,408
Quentin Halys,400
Thiago Agustin Tirante,398
Ignacio Buse,395
Luca Van Assche,391
Yannick Hanfmann,389
Nuno Borges,385
James Duckworth,382
Jaime Faria,377
Marco Trungelliti,371
Corentin Moutet,370
Mattia Bellucci,365
Arthur Rinderknech,360
Terence Atmane,352
Matteo Berrettini,350
Yibing Wu,347
Pablo Carreno Busta,333
Adrian Mannarino,320
Juan Manuel Cerundolo,319
Aleksandar Kovacevic,316
Alex Molcan,316
Sebastian Ofner,313
Aleksandr Shevchenko,310
Martin Landaluce,308
Dino Prizmic,298
Arthur Gea,296
Borna Gojo,296
Toby Samuel,289
Dane Sweeny,288
Adam Walton,283
Zachary Svajda,276
Coleman Wong,271
Emilio Nava,270
Roman Safiullin,268
Francesco Maestrelli,266
Stan Wawrinka,265
Facundo Diaz Acosta,263
Jack Draper,260
Titouan Droguet,260
Alex Bolt,260
Gustavo Heide,250
Cristian Garin,248
Pedro Martinez,248
Damir Dzumhur,246
Rei Sakamoto,246
Martin Damm,244
Benjamin Bonzi,241
Jaume Munar,240
Elmer Moller,240
Matteo Arnaldi,238
Soonwoo Kwon,236
Marton Fucsovics,235
Vilius Gaubas,235
Michael Mmoh,235
Sho Shimabukuro,234
Nicolas Mejia,232
Gauthier Onclin,229
Nishesh Basavareddy,226
Valentin Royer,225
Zhizhen Zhang,225
Alexandre Muller,224
Hugo Dellien,223
Chris Rodesch,222
Jan-Lennard Struff,218
Dalibor Svrcina,216
Zsombor Piros,216
Daniel Altmaier,214
Eliot Spizzirri,213
Kamil Majchrzak,212
Pol Martin Tiffon,209
Francisco Comesana,208
Giovanni Mpetshi Perricard,205
Alexei Popyrin,200
Henrique Rocha,199
Pablo Llamas Ruiz,197
Pavel Kotov,196
Daniil Glinka,196
Jenson Brooksby,195
Jack Pinnington Jones,195
Kyrian Jacquet,194
Christopher O'Connell,192
Gianluca Cadenasso,191
Reilly Opelka,190
Joel Schwaerzler,190
Zdenek Kolar,189
Stefano Travaglia,188
Nicolai Budkov Kjaer,187
Liam Broady,187
Gabriel Diallo,185
Patrick Kypson,183
Rio Noguchi,182
Stefanos Sakellaridis,181
Leandro Riedi,180
Clement Tabur,178
Raul Brancaccio,177
Clement Chidekh,176
Lloyd Harris,174
Dusan Lajovic,173
Tomas Barrios Vera,173
Stefan Dostanic,173
Felix Gill,173
Alexis Galarneau,170
Andrea Guerrieri,170
Lautaro Midon,166
Moise Kouame,163
Arthur Fery,161
Jurij Rodionov,161
Federico Agustin Gomez,160
Stefan Kozlov,160
Nikolas Sanchez Izquierdo,160
Roberto Bautista Agut,157
Tristan Schoolkate,157
Marco Cecchinato,151
Stefano Napolitano,150
Timofey Skatov,150
Guido Ivan Justo,150
Max Houkes,150
Lukas Neumayer,148
Juan Carlos Prado Angelo,146
Lorenzo Sonego,145
Luca Nardi,145
Ilia Simakin,145
Yunchaokete Bu,144
Buvaysar Gadamauri,141
Gael Monfils,140
Elias Ymer,140
Harry Wendelken,140
Florent Bax,140
Darwin Blanch,139
Juan Pablo Varillas,138
Liam Draxl,137
Alastair Gray,137
Andy Andrade,135
Jay Clarke,135
Diego Dedura,135
Franco Roncadelli,133
Nikoloz Basilashvili,132
Frederico Ferreira Silva,131
Mackenzie McDonald,130
James McCabe,130
Gonzalo Bueno,128
Matias Soto,127
Sergey Fomin,127
Filip Cristian Jianu,127
Andrea Pellegrino,125
Facundo Mena,125
Mikhail Kukushkin,124
Hayato Matsuoka,123
Michael Geerts,123
Keegan Smith,122
Chun-Hsin Tseng,121
Pierre-Hugues Herbert,120
Pedro Boscardin Dias,120
Juan Pablo Ficovich,118
Tom Gentzsch,118
Jesper de Jong,117
Hugo Gaston,117
Charles Broom,117
Tung-Lin Wu,116
Federico Cina,115
Fajing Sun,115
Kimmer Coppejans,114
Rodrigo Pacheco Mendez,114
Roberto Carballes Baena,113
Luka Pavlovic,113
Francesco Passaro,112
Maks Kasnikowski,112
August Holmgren,111
Alejandro Moro Canas,111
Remy Bertola,111
Otto Virtanen,110
Max Alcala Gurri,108
Marek Gengel,108
Calvin Hemery,105
Billy Harris,104
Jacob Fearnley,103
Aleksandar Vukic,103
Murphy Cassone,103
Michael Zheng,102
Thiago Monteiro,102
Marc-Andrea Huesler,102
Juncheng Shang,100
Braden Shick,100
Blaise Bicknell,98
Colton Smith,97
Jack Kennedy,97
Genaro Alberto Olivieri,97
Vitaliy Sachko,96
Igor Marcondes,96
Grigor Dimitrov,95
Kaichi Uchida,95
Mili Poljicak,94
Michele Ribecai,94
Filippo Romano,94
Jonas Forejtek,93
Miguel Damas,93
Manas Dhamne,91
Juan Estevez,91
Ugo Blanchet,90
Edas Butvilas,89
Philip Henning,89
Matteo Martineau,88
Joao Lucas Reis Da Silva,88
Mert Alkaya,88
Andrea Collarini,87
Blake Ellis,87
Juan Manuel La Serna,87
Lorenzo Giustino,87
Jan Choinski,86
Alvaro Guillen Meza,85
Henry Searle,85
Martin Krumich,85
Alafia Ayeni,83
Florian Broska,83
Lucio Ratti,82
Franco Agamenone,82
Carlos Sanchez Jover,82
Li Tu,81
Andrej Nedic,81
Eliakim Coulibaly,81
Philip Sekulic,81
Yu Hsiou Hsu,81
Andre Ilagan,81
Yosuke Watanuki,79
Eduardo Ribeiro,79
Max Schoenhaus,79
Thomas Faurel,79
Valerio Aboian,79
Dominic Stricker,78
