Player,Points
Elmar Ejupovic,25
Manuel Plunger,25
Thanasi Kokkinakis,25
Jacopo Berrettini,25
Jonas Forejtek,25
Patrick Schoen,25
Andres Andrade,25
Cannon Kingsley,25
Arthur Nagel,25
Dimitris Sakellaridis,25
Mariano Navone,24
Lukas Klein,24
Ugo Blanchet,24
Olaf Pieczkowski,24
Tomas Farjat,24
Daniel Antonio Nunez,24
Roberto Carballes Baena,24
Ivan Gakhov,24
Darwin Blanch,24
Carlos Lopez Montagud,24
Mark Lajal,24
Joaquin Aguilar Cardozo,24
Yannik Kelm,24
Dan Martin,24
Pedro Boscardin Dias,24
Petr Bar Biryukov,24
Pablo Carreno Busta,23
Hugo Gaston,23
Yuta Kawahashi,23
Hynek Barton,23
Ivan Marrero Curbelo,23
Shunsuke Mitsui,23
Pierre Yves Bailly,23
Matt Kuhar,23
Amir Omarkhanov,23
Andrey Chepelev,23
Valerio Aboian,23
Juan Pablo Ficovich,22
Kenta Miyoshi,22
Tom Paris,22
Leandro Riedi,22
Alexis Galarneau,22
Kimmer Coppejans,22
Pedro Rodenas,22
Federico Arnaboldi,22
Colton Smith,22
Olle Wallin,22
Petr Brunclik,22
Marat Sharipov,22
Max Basing,21
Alberto Barroso Campos,21
Quinn Vandecasteele,21
Neil Oberleitner,21
Miguel Damas,21
Andre Ilagan,21
Jake Delaney,21
Juan Bautista Torres,21
Pierre Delage,21
Nicolas Kicker,21
Karl Poling,21
Aziz Ouakaa,21
Gilles Arnaud Bailly,20
Pablo Llamas Ruiz,20
Maxim Mrva,20
Taha Baadi,20
Joao Lucas Reis Da Silva,20
Stefano Napolitano,20
Gabi Adrian Boitan,20
Oleksandr Ovcharenko,20
David Jorda Sanchis,20
Fausto Tabacco,20
Thiago Monteiro,19
Petr Nesterov,19
Nino Ehrenschneider,19
Viktor Durasovic,19
Marc Polmans,19
Andreja Petrovic,19
Mitsuki Wei Kang Leong,19
Ivan Ivanov,19
Rudolf Molleker,19
Hikaru Shiraishi,19
Sandro Kopp,19
Garrett Johns,19
Gonzalo Villanueva,19
Nicolas Barrientos,18
Alexey Vatutin,18
George Loffhagen,18
Clement Tabur,18
Nitin Kumar Sinha,18
Matthew William Donald,18
Alex Martinez,18
Leo Vithoontien,18
Alexandr Binda,18
Martin Krumich,18
Michele Ribecai,18
Philip Sekulic,18
Emile Hudd,18
Rodrigo Alujas,18
Tiago Torres,18
Samuel Heredia,18
Felix Corwin,18
Ryan Fishback,18
Matteo Arnaldi,17
Terence Atmane,17
Filip Misolic,17
Adam Walton,17
Matisse Bobichon,17
Taym Al Azmeh,17
Mitchell Krueger,17
Charlie Robertson,17
Lukas Neumayer,17
Andres Santamarta Roig,17
Tim Handel,17
Louis Wessels,17
Blaise Bicknell,17
Saba Purtseladze,17
Ozan Baris,17
Dominik Palan,17
Geoffrey Blancaneaux,17
Hyeon Chung,17
Tristan McCormick,17
Strong Kirchheimer,17
Timofei Derepasko,17
Tristan Schoolkate,16
Yusuke Kusuhara,16
Inaki Montes-De La Torre,16
Daniel Siniakov,16
Giulio Zeppieri,16
Pierre-Hugues Herbert,16
Aidan Kim,16
Dhakshineswar Suresh,16
Anton Shepp,16
Eliakim Coulibaly,16
Alex Molcan,16
Abel Forger,16
Vincent Marysko,16
Jose Pereira,16
Tristan Boyer,16
Matej Dodig,16
Alejandro Juan Mano,16
Dong Ju Kim,16
Stefanos Sakellaridis,16
Tom Gentzsch,16
Oskar Brostrom Poulsen,16
Carlos Maria Zarate,16
Maximo Zeitune,16
Jack Loge,16
Ryan Dickerson,16
Yuta Shimizu,16
Ivan Nedelko,16
Tiago Pereira,16
Izan Almazan Valiente,16
Nicolas Oliveira,15
Matyas Cerny,15
Daniel De Jonge,15
Marlon Vankan,15
Alexander Ritschard,15
Ryan Colby,15
Alex Kuperstein,15
Ergi Kirkin,15
Maximilian Homberg,15
Dante Pagani,15
William Rejchtman Vinciguerra,15
Zach Stephens,15
Felix Balshaw,15
Gabriele Piraino,15
Henrique Rocha,15
Gavin Young,15
Christopher Li,15
Sergio Callejon Hernando,15
Federico Bondioli,15
Theo Papamalamis,14
Jan Choinski,14
Norbert Gombos,14
Milos Karol,14
Peter Bertran,14
Sumit Nagal,14
Cezar Cretu,14
Yoshihito Nishioka,14
Dominik Kellovsky,14
Yu Hsiou Hsu,14
Alejandro Moro Canas,14
Pavle Marinkov,14
Thanapet Chanta,14
Luca Wiedenmann,14
