Player,Points
Carlos Alcaraz,2000
Novak Djokovic,1300
Alex de Minaur,985
Ben Shelton,950
Alexander Zverev,840
Jannik Sinner,800
Alexander Bublik,650
Felix Auger-Aliassime,615
Lorenzo Musetti,565
Taylor Fritz,565
Jakub Mensik,495
Francisco Cerundolo,450
Daniil Medvedev,450
Sebastian Baez,430
Learner Tien,425
Luciano Darderi,415
Ugo Humbert,400
Tommy Paul,350
Tomas Machac,350
Marin Cilic,325
Hubert Hurkacz,315
Alejandro Davidovich Fokina,300
Adolfo Daniel Vallejo,280
Dane Sweeny,258
Casper Ruud,255
Denis Shapovalov,250
Francesco Maestrelli,236
Rinky Hijikata,227
Botic van de Zandschulp,225
Tomas Martin Etcheverry,225
Stefanos Tsitsipas,225
Brandon Nakashima,225
Adrian Mannarino,225
Stan Wawrinka,215
Eliot Spizzirri,213
Marcos Giron,210
Sebastian Korda,210
Arthur Gea,205
Andrey Rublev,200
Fabian Marozsan,200
Cameron Norrie,200
Jaume Munar,200
Raphael Collignon,198
Pedro Martinez,193
Aleksandar Kovacevic,193
Quentin Halys,189
Alex Michelsen,185
Camilo Ugo Carabelli,185
Jack Pinnington Jones,182
Zachary Svajda,178
Nuno Borges,175
Frances Tiafoe,175
Rafael Jodar,174
James Duckworth,172
Kyrian Jacquet,172
Zizou Bergs,165
Alex Bolt,165
Martin Damm,164
Luca Van Assche,163
Rei Sakamoto,161
Tallon Griekspoor,160
Daniil Glinka,160
Ethan Quinn,157
Jan-Lennard Struff,155
Hamad Medjedovic,151
Alexander Blockx,151
Karen Khachanov,150
Valentin Vacherot,150
Lloyd Harris,150
Alejandro Tabilo,148
Federico Agustin Gomez,147
Titouan Droguet,143
Toby Samuel,142
Daniel Merida,136
Vit Kopriva,135
Luca Nardi,132
Christopher O'Connell,132
Alexander Shevchenko,129
Roman Andres Burruchaga,122
Ilia Simakin,122
Zhizhen Zhang,120
Elmer Moller,120
Stefan Kozlov,118
Pol Martin Tiffon,117
Arthur Fery,114
Jaime Faria,113
Yibing Wu,112
Tomas Barrios Vera,112
Cristian Garin,110
Miomir Kecmanovic,110
Giovanni Mpetshi Perricard,110
Clement Chidekh,108
Zdenek Kolar,108
Kamil Majchrzak,107
Elias Ymer,105
Michael Zheng,102
Corentin Moutet,100
Juncheng Shang,100
Reilly Opelka,100
Colton Smith,97
Dusan Obradovic,31
Carlos Taberner,30
Flavio Cobolli,30
Ognjen Milic,30
Joshua Sheehy,30
George Loffhagen,30
Gianmarco Ferrari,30
Oriol Roca Batalla,30
Leandro Riedi,30
Petr Brunclik,30
Dan Martin,30
Daniel Milavsky,30
Laslo Djere,29
Andrea Pellegrino,29
Jonas Forejtek,29
S D Prajwal Dev,29
Karol Filar,29
Matheus Pucinelli De Almeida,29
Juan Bautista Torres,29
Joel Schwaerzler,28
Beibit Zhukayev,28
Marat Sharipov,28
Giles Hussey,28
Ryan Colby,27
Karan Singh,27
Amir Omarkhanov,27
Maxime Chazal,26
Pedro Sakamoto,26
Andrea Guerrieri,26
Gonzalo Bueno,26
Matt Kuhar,26
Arthur Nagel,26
Jack Anthrop,25
Elmar Ejupovic,25
Manuel Plunger,25
Thanasi Kokkinakis,25
Matteo Berrettini,25
Luka Pavlovic,25
Kimmer Coppejans,25
Patrick Schoen,25
Christoph Negritu,25
Marc Polmans,25
Carlos Lopez Montagud,25
Gabriele Piraino,25
Emile Hudd,25
Joaquin Aguilar Cardozo,25
Martin Krumich,25
Dimitris Sakellaridis,25
Adam Walton,24
Giulio Zeppieri,24
Tomas Farjat,24
Daniel Antonio Nunez,24
Tommaso Compagnucci,24
Cruz Hewitt,24
Matthew William Donald,24
Yannik Kelm,24
William Grant,24
Mark Lajal,24
Pierre Yves Bailly,24
Oleksandr Ovcharenko,24
Shintaro Mochizuki,23
Yuta Kawahashi,23
Ivan Marrero Curbelo,23
Shunsuke Mitsui,23
Nino Ehrenschneider,23
Rudolf Molleker,23
Felix Balshaw,23
Andrey Chepelev,23
Kenta Miyoshi,22
Tom Paris,22
Juan Pablo Ficovich,22
Pedro Rodenas,22
Federico Arnaboldi,22
Max Basing,22
Olle Wallin,22
Taha Baadi,22
Nitin Kumar Sinha,22
Paul Jubb,22
Mitsuki Wei Kang Leong,22
Patrick Zahraj,22
Nicolas Tepmahc,22
Philip Sekulic,22
Izan Almazan Valiente,22
Manish Sureshkumar,22
Neil Oberleitner,21
Luca Staeheli,21
Alberto Barroso Campos,21
Blaise Bicknell,21
Stefan Popovic,21
Jake Delaney,21
Alejo Sanchez Quilez,21
Pierre Delage,21
Felix Corwin,21
Nicolas Kicker,21
Karl Poling,21
Aziz Ouakaa,21
Ryan Fishback,21
Gilles Arnaud Bailly,20
Maxim Mrva,20
Dong Ju Kim,20
