Player,Points
Jannik Sinner,5950
Alexander Zverev,5040
Carlos Alcaraz,3650
Flavio Cobolli,2620
Daniil Medvedev,2220
Arthur Fils,1890
Jakub Mensik,1855
Ben Shelton,1680
Felix Auger-Aliassime,1675
Casper Ruud,1665
Alex de Minaur,1615
Rafael Jodar,1569
Novak Djokovic,1510
Tommy Paul,1505
Luciano Darderi,1435
Andrey Rublev,1410
Jiri Lehecka,1255
Frances Tiafoe,1255
Francisco Cerundolo,1250
Learner Tien,1245
Tomas Martin Etcheverry,1195
Alexander Bublik,1130
Matteo Arnaldi,1088
Alejandro Tabilo,1055
Ignacio Buse,960
Alexander Blockx,955
Joao Fonseca,950
Lorenzo Musetti,885
Valentin Vacherot,860
Mariano Navone,834
Ugo Humbert,820
Sebastian Baez,805
Taylor Fritz,775
Karen Khachanov,770
Matteo Berrettini,763
Brandon Nakashima,745
Tomas Machac,690
Cameron Norrie,680
Juan Manuel Cerundolo,680
Vit Kopriva,680
Miomir Kecmanovic,675
Alejandro Davidovich Fokina,660
Hamad Medjedovic,651
Alex Michelsen,645
Raphael Collignon,623
Tallon Griekspoor,620
Martin Landaluce,618
Hubert Hurkacz,615
Camilo Ugo Carabelli,610
Adolfo Daniel Vallejo,609
Thiago Agustin Tirante,598
Sebastian Korda,590
Stefanos Tsitsipas,580
Ethan Quinn,573
Zizou Bergs,570
Roman Andres Burruchaga,570
Aleksandar Kovacevic,564
Pablo Carreno Busta,558
Quentin Halys,550
Nuno Borges,540
Jaime Faria,536
Daniel Merida,535
Fabian Marozsan,520
Zachary Svajda,506
Marin Cilic,505
Yannick Hanfmann,479
Botic van de Zandschulp,475
Dino Prizmic,468
Arthur Rinderknech,460
Denis Shapovalov,450
Emilio Nava,443
Mattia Bellucci,443
Luca Van Assche,441
Rinky Hijikata,436
Marco Trungelliti,435
Marcos Giron,433
James Duckworth,432
Adam Walton,408
Alex Molcan,399
Yibing Wu,397
Terence Atmane,392
Corentin Moutet,390
Daniel Altmaier,367
Sebastian Ofner,353
Aleksandr Shevchenko,350
Jaume Munar,350
Francisco Comesana,346
Facundo Diaz Acosta,343
Toby Samuel,335
Jesper de Jong,333
Henrique Rocha,332
Adrian Mannarino,330
Pablo Llamas Ruiz,323
Roman Safiullin,322
Arthur Gea,321
Andrea Pellegrino,320
Borna Gojo,312
Stan Wawrinka,310
Alexei Popyrin,310
Cristian Garin,308
Damir Dzumhur,306
Coleman Wong,305
Jan-Lennard Struff,298
Hugo Dellien,298
Nishesh Basavareddy,296
Titouan Droguet,295
Martin Damm,291
Stefanos Sakellaridis,289
Dane Sweeny,288
Benjamin Bonzi,277
Valentin Royer,276
Francesco Maestrelli,274
Pedro Martinez,271
Giovanni Mpetshi Perricard,270
Yunchaokete Bu,269
Vilius Gaubas,268
Alex Bolt,268
Rei Sakamoto,265
Moise Kouame,263
Sho Shimabukuro,263
Elmer Moller,262
Jack Draper,260
Zsombor Piros,260
Gustavo Heide,258
Kamil Majchrzak,257
Lukas Neumayer,253
Nikoloz Basilashvili,252
Marton Fucsovics,245
Zhizhen Zhang,244
Gauthier Onclin,242
Dalibor Svrcina,238
Nicolas Mejia,238
Pol Martin Tiffon,237
Soonwoo Kwon,236
Alexandre Muller,234
Kyrian Jacquet,234
Chris Rodesch,234
Arthur Fery,226
Eliot Spizzirri,223
Leandro Riedi,219
Stefano Travaglia,218
Daniil Glinka,217
Nicolai Budkov Kjaer,211
Zdenek Kolar,211
Roberto Bautista Agut,210
Joel Schwaerzler,210
Jurij Rodionov,208
Federico Cina,207
Andrea Guerrieri,207
Dusan Lajovic,206
Jenson Brooksby,205
Liam Broady,205
Pavel Kotov,203
Jack Pinnington Jones,202
Reilly Opelka,200
Alexis Galarneau,199
Gianluca Cadenasso,199
Tomas Barrios Vera,198
Felix Gill,197
Nikolas Sanchez Izquierdo,196
Lorenzo Sonego,195
Gabriel Diallo,195
Timofey Skatov,195
Colton Smith,194
Lautaro Midon,193
Christopher O'Connell,192
Clement Tabur,191
Marco Cecchinato,189
Juan Carlos Prado Angelo,186
Jan Choinski,186
Rio Noguchi,185
Raul Brancaccio,184
Patrick Kypson,183
Lloyd Harris,182
Stefan Dostanic,181
Clement Chidekh,181
Hugo Gaston,180
Keegan Smith,179
Laslo Djere,178
Elias Ymer,176
Otto Virtanen,174
Federico Agustin Gomez,174
Pierre-Hugues Herbert,173
Diego Dedura,172
Buvaysar Gadamauri,171
Liam Draxl,167
Luca Nardi,167
Max Alcala Gurri,166
Tristan Schoolkate,165
Aleksandar Vukic,164
Stefano Napolitano,164
Guido Ivan Justo,164
Stefan Kozlov,163
Franco Roncadelli,162
Alastair Gray,161
Max Houkes,156
Darwin Blanch,155
Jay Clarke,155
Chun-Hsin Tseng,154
Luka Pavlovic,153
Filip Cristian Jianu,152
Harry Wendelken,149
James McCabe,148
Andy Andrade,147
Remy Bertola,147
Andre Ilagan,146
Ilia Simakin,145
Philip Henning,145
Gonzalo Bueno,144
Kimmer Coppejans,143
Florent Bax,143
Michael Zheng,142
Braden Shick,141
Gael Monfils,140
Mackenzie McDonald,138
Juan Pablo Varillas,138
Maks Kasnikowski,138
Juan Manuel La Serna,137
Roberto Carballes Baena,137
Edas Butvilas,137
August Holmgren,136
Max Schoenhaus,136
Sergey Fomin,136
Pedro Boscardin Dias,135
Tom Gentzsch,134
David Jorda Sanchis,134
Hynek Barton,133
Alejandro Moro Canas,133
Hayato Matsuoka,131
