Player,Points
Frederico Ferreira Silva,131
Facundo Mena,130
Genaro Alberto Olivieri,129
Matias Soto,127
Andrej Nedic,127
Mikhail Kukushkin,127
Dali Blanch,126
Tristan Boyer,125
Juan Pablo Ficovich,125
Michael Geerts,123
Charles Broom,123
Giles Hussey,123
Franco Agamenone,122
Jacopo Vasami,121
Fajing Sun,121
Thomas Faurel,119
Thiago Monteiro,118
Vitaliy Sachko,118
Tung-Lin Wu,118
Oriol Roca Batalla,117
Filippo Romano,115
Rodrigo Pacheco Mendez,114
Martin Krumich,114
Jacob Fearnley,113
Mili Poljicak,113
Henri Squire,113
Francesco Passaro,112
Marc-Andrea Huesler,112
Billy Harris,112
Jack Kennedy,111
Petr Nesterov,111
Marek Gengel,110
Calvin Hemery,109
Murphy Cassone,109
Joao Lucas Reis Da Silva,109
Kilian Feldbausch,108
Juan Bautista Torres,108
Philip Sekulic,106
Cezar Cretu,105
Blaise Bicknell,104
Eliakim Coulibaly,103
Bernard Tomic,103
Inaki Montes-De La Torre,102
Petr Bar Biryukov,102
Henry Searle,101
Ugo Blanchet,101
Manas Dhamne,101
Mert Alkaya,101
Juncheng Shang,100
Oliver Crawford,100
Michele Ribecai,100
Yu Hsiou Hsu,100
Juan Estevez,100
Anton Matusevich,98
Jonas Forejtek,97
Igor Marcondes,96
Alafia Ayeni,96
Grigor Dimitrov,95
Kaichi Uchida,95
Lorenzo Giustino,94
Federico Bondioli,94
Mark Lajal,93
Matteo Martineau,93
Semen Pankin,93
Lucio Ratti,93
Miguel Damas,93
Taro Daniel,91
Alex Martinez,91
Andrea Collarini,91
Dominic Stricker,90
Tommaso Compagnucci,90
Samuele Pieri,89
Carlos Sanchez Jover,89
Andrej Martin,88
Ognjen Milic,88
Matej Dodig,88
Hamish Stewart,87
Francesco Forti,87
Justin Boulais,87
Eduardo Ribeiro,87
Blake Ellis,87
Valerio Aboian,87
Enrico Dalla Valle,86
Thiago Seyboth Wild,85
Maxim Mrva,85
Alvaro Guillen Meza,85
Vadym Ursu,84
Luciano Emanuel Ambrogi,84
Florian Broska,83
Li Tu,81
Cyril Vandermeersch,81
Max Hans Rehberg,80
Felix Balshaw,80
Robert Strombachs,80
Thanasi Kokkinakis,79
Yosuke Watanuki,79
Yanki Erel,79
Arthur Nagel,79
Paul Jubb,79
Alejo Sanchez Quilez,79
Akira Santillan,79
Niels Visker,78
Marko Topo,77
Maximus Jones,77
Tyler Zink,77
Murkel Dellien,77
Robin Bertrand,77
Tibo Colson,76
Guy Den Ouden,76
Daniel Rincon,76
Daniel Milavsky,76
Mees Rottgering,75
Yasutaka Uchiyama,75
Anton Shepp,75
Marvin Moeller,75
Alex Barrena,75
Matthew Dellavedova,75
Tiago Pereira,75
Luka Mikrut,74
Carl Emil Overbeck,74
Beibit Zhukayev,74
Alex Marti Pujolras,73
Johan Nikles,72
Duje Ajdukovic,72
Jason Kubler,71
Sean Cuenin,71
Sumit Nagal,71
Yuta Shimizu,71
Daniel Masur,71
Patrick Schoen,71
Tai Sach,71
Lucas Poullain,70
Denis Yevseyev,70
Enzo Aguiard,69
Colin Sinclair,69
Nick Hardt,68
Sascha Gueymard Wayenburg,68
Moerani Bouzige,68
Quinn Vandecasteele,67
Daniel Michalski,67
Oleg Prihodko,67
Daniel Dutra da Silva,67
Masamichi Imamura,66
Hiroki Moriya,66
Lilian Marmousez,65
Maxime Chazal,65
Cannon Kingsley,65
Emile Hudd,65
Mathys Erhard,65
Ilya Ivashka,64
Dragos Nicolae Madaras,64
Ioannis Xilas,64
Andrea Vavassori,63
Hugo Grenier,63
Jordan Thompson,62
Lui Maxted,62
Ivan Marrero Curbelo,62
Hyeon Chung,62
Justin Engel,62
Eric Vanshelboim,62
Andres Martin,62
Karl Poling,62
Carlos Maria Zarate,62
Georgii Kravchenko,62
Andrey Chepelev,62
Nerman Fatic,61
Jie Cui,61
Karim Bennani,61
Matthew William Donald,61
Sergi Perez Contri,61
Gonzalo Villanueva,61
Alec Beckley,60
Arthur Weber,60
Antoine Ghibaudo,60
Federico Arnaboldi,60
Jake Delaney,60
Sandro Kopp,60
Karan Singh,60
Stefan Palosi,59
Mika Petkovic,59
Digvijay Pratap Singh,59
Alexander Binda,59
Juan Sebastian Gomez,58
Daniel Elahi Galan,58
Alexander Donski,57
Mika Brunold,57
Gianmarco Ferrari,57
Marat Sharipov,57
Geoffrey Blancaneaux,57
John Echeverria,57
Romain Faucon,57
Dimitar Kuzmanov,57
Garrett Johns,57
Laurent Lokoli,56
Corentin Denolly,56
Mitsuki Wei Kang Leong,56
Toufik Sahtali,56
Christian Langmo,56
Jerome Kym,55
Daniel Siniakov,55
Max Basing,55
Ivan Gakhov,55
Sergio Callejon Hernando,55
Shintaro Mochizuki,54
Petr Brunclik,54
Matheus Pucinelli De Almeida,54
Iliyan Radulov,54
Tiago Torres,54
Harold Mayot,53
Luca Castelnuovo,53
Ivan Ivanov,53
Yi Zhou,52
Adrian Boitan,52
Giuseppe La Vela,52
Michael Bassem Sobhy,52
Amir Omarkhanov,52
Fares Zakaria,52
Lorenzo Joaquin Rodriguez,52
Daniel De Jonge,51
Marc Polmans,51
Ryan Colby,51
Arthur Cazaux,50
Johannus Monday,50
Radu Albot,50
Taha Baadi,50
Lukas Pokorny,50
Gabriele Piraino,50
Izan Almazan Valiente,50
Milos Karol,49
Sebastian Sorger,49
Alex Hernandez,49
Dan Added,49
Paulo Andre Saraiva Dos Santos,49
Cruz Hewitt,49
Pedro Sakamoto,49
Dusan Obradovic,49
Hernan Casanova,48
Gavin Young,48
Gilles Arnaud Bailly,48
Dan Martin,48
Nicolas Tepmahc,48
Duncan Chan,47
Pavle Marinkov,47
Eero Vasa,47
Viktor Durasovic,47
Daniil Ostapenkov,47
Andrew Fenty,47
Sidharth Rawat,47
Jack Loge,47
Patrick Zahraj,47
Lorenzo Carboni,47
Leonardo Rossi,47
Aziz Ouakaa,47
Khumoyun Sultanov,46
Alan Fernando Rubio Fierros,46
Mateus Alves,46
Radu Mihai Papoe,46
Yaroslav Demin,46
Joao Domingues,46
Bor Artnak,45
Rudolf Molleker,45
Samuel Vincent Ruggeri,45
Kasidit Samrej,45
Juan Cruz Martin Manzano,44
Moez Echargui,44
Reda Bennani,44
Federico Iannaccone,44
Svyatoslav Gulin,44
Santiago Rodriguez Taverna,44
Olle Wallin,43
Sanhui Shin,43
